model,val_f1,trial_no,lr,wd,dropout,bs,d_model,n_blocks,k_periods,n_heads,e4_accuracy,e4_f1,e4_precision,e4_recall,e4_auroc,n_layers,d_state,d_ff,n_conv_layers,cnn_kernel
ModernTCN,0.9011857657191957,9,0.0008873369675509132,0.00436543933838855,0.2987124093269809,64,64,4.0,,,,,,,,,,,,
Medformer,0.9011406793770331,9,0.0002271827012147676,0.0008602428586399432,0.20558107481202714,64,128,,,4.0,,,,,,2.0,,,,
TimesNet,0.8988326797906101,14,0.00013272824850494078,0.0006217056674819389,0.24371625416420536,64,64,4.0,2.0,,,,,,,,,,,
TSLANet,0.8988326797906101,0,0.0005611516415334506,0.0071144760093434225,0.292797576724562,32,128,4.0,,,,,,,,,,,,
TransformerCNN,0.8974854881956236,7,0.000493733512095047,0.00018790644641318018,0.085596731911287,128,256,,,2.0,,,,,,2.0,,512.0,1.0,5.0
CrossGNN,0.8936170162421947,12,0.0013373547771210806,0.001103269454092511,0.041935287621616114,128,32,,,,,,,,,3.0,,,,
PatchTST,0.8888888839202279,10,0.0034039375256898845,4.939122034488653e-05,0.3912857568698415,64,256,,,2.0,,,,,,4.0,,256.0,,
iTransformer,0.8888888839202279,3,0.0015182972564392438,0.0033434811637572818,0.20890583522346828,32,128,,,2.0,,,,,,4.0,,128.0,,
Mamba2,0.8875968941907038,13,0.00015253221766837506,7.83477236035364e-05,0.31090080389295816,64,32,,,,,,,,,2.0,32.0,,,
TimeMixerPP,0.8722986197224807,31,0.0009758080239388809,1.044062378363392e-05,0.02852609084853837,32,64,1.0,3.0,2.0,,,,,,,,,,
