model,subject,n_windows,accuracy,f1,precision,recall
TimeMixerPP,subject_01,159,0.8742138364779874,0.9285714285714286,0.9701492537313433,0.8904109589041096
TimeMixerPP,subject_02,144,0.9027777777777778,0.946969696969697,0.9398496240601504,0.9541984732824428
TimeMixerPP,subject_03,116,0.9568965517241379,0.9751243781094527,1.0,0.9514563106796117
TimeMixerPP,subject_04,119,0.957983193277311,0.9758454106280193,1.0,0.9528301886792453
TimeMixerPP,subject_05,117,0.5726495726495726,0.6875,0.9821428571428571,0.5288461538461539
TimeMixerPP,subject_06,125,0.752,0.8584474885844748,0.8785046728971962,0.8392857142857143
Medformer,subject_01,159,0.8301886792452831,0.9032258064516129,0.9473684210526315,0.863013698630137
Medformer,subject_02,144,0.8402777777777778,0.9132075471698113,0.9029850746268657,0.9236641221374046
Medformer,subject_03,116,0.9137931034482759,0.9532710280373832,0.918918918918919,0.9902912621359223
Medformer,subject_04,119,0.9831932773109243,0.9904761904761905,1.0,0.9811320754716981
Medformer,subject_05,117,0.9316239316239316,0.9603960396039604,0.9897959183673469,0.9326923076923077
Medformer,subject_06,125,0.792,0.8828828828828829,0.8909090909090909,0.875
TSLANet,subject_01,159,0.9371069182389937,0.9645390070921985,1.0,0.9315068493150684
TSLANet,subject_02,144,0.8263888888888888,0.8995983935742972,0.9491525423728814,0.8549618320610687
TSLANet,subject_03,116,0.7586206896551724,0.8585858585858586,0.8947368421052632,0.8252427184466019
TSLANet,subject_04,119,0.7563025210084033,0.8415300546448088,1.0,0.7264150943396226
TSLANet,subject_05,117,0.36752136752136755,0.463768115942029,0.9411764705882353,0.3076923076923077
TSLANet,subject_06,125,0.824,0.9035087719298246,0.8879310344827587,0.9196428571428571
ModernTCN,subject_01,159,0.5849056603773585,0.7105263157894737,0.9878048780487805,0.5547945205479452
ModernTCN,subject_02,144,0.8819444444444444,0.9311740890688259,0.9913793103448276,0.8778625954198473
ModernTCN,subject_03,116,0.7931034482758621,0.883495145631068,0.883495145631068,0.883495145631068
ModernTCN,subject_04,119,0.907563025210084,0.945273631840796,1.0,0.8962264150943396
ModernTCN,subject_05,117,0.48717948717948717,0.5945945945945946,1.0,0.4230769230769231
ModernTCN,subject_06,125,0.704,0.8082901554404145,0.9629629629629629,0.6964285714285714
CrossGNN,subject_01,159,0.6226415094339622,0.7413793103448276,1.0,0.589041095890411
CrossGNN,subject_02,144,0.7291666666666666,0.8354430379746836,0.9339622641509434,0.7557251908396947
CrossGNN,subject_03,116,0.7068965517241379,0.8282828282828283,0.8631578947368421,0.7961165048543689
CrossGNN,subject_04,119,0.865546218487395,0.9183673469387755,1.0,0.8490566037735849
CrossGNN,subject_05,117,0.36752136752136755,0.44776119402985076,1.0,0.28846153846153844
CrossGNN,subject_06,125,0.784,0.864321608040201,0.9885057471264368,0.7678571428571429
TimesNet,subject_01,159,0.7421383647798742,0.8379446640316206,0.9906542056074766,0.726027397260274
TimesNet,subject_02,144,0.8888888888888888,0.9389312977099237,0.9389312977099237,0.9389312977099237
TimesNet,subject_03,116,0.8189655172413793,0.8995215311004785,0.8867924528301887,0.912621359223301
TimesNet,subject_04,119,0.8907563025210085,0.9346733668341709,1.0,0.8773584905660378
TimesNet,subject_05,117,0.4017094017094017,0.4927536231884058,1.0,0.3269230769230769
TimesNet,subject_06,125,0.736,0.8436018957345972,0.898989898989899,0.7946428571428571
Mamba2,subject_01,159,0.6037735849056604,0.7248908296943232,1.0,0.5684931506849316
Mamba2,subject_02,144,0.8263888888888888,0.8945147679324894,1.0,0.8091603053435115
Mamba2,subject_03,116,0.7931034482758621,0.8846153846153846,0.8761904761904762,0.8932038834951457
Mamba2,subject_04,119,0.6638655462184874,0.7674418604651163,1.0,0.6226415094339622
Mamba2,subject_05,117,0.29914529914529914,0.3492063492063492,1.0,0.21153846153846154
Mamba2,subject_06,125,0.624,0.7564766839378239,0.9012345679012346,0.6517857142857143
iTransformer,subject_01,159,0.9119496855345912,0.9539473684210527,0.9177215189873418,0.9931506849315068
iTransformer,subject_02,144,0.9027777777777778,0.948905109489051,0.9090909090909091,0.9923664122137404
iTransformer,subject_03,116,0.8793103448275862,0.9357798165137615,0.8869565217391304,0.9902912621359223
iTransformer,subject_04,119,0.8907563025210085,0.9422222222222222,0.8907563025210085,1.0
iTransformer,subject_05,117,0.8803418803418803,0.9363636363636364,0.8879310344827587,0.9903846153846154
iTransformer,subject_06,125,0.896,0.9451476793248945,0.896,1.0
PatchTST,subject_01,159,0.9182389937106918,0.9573770491803278,0.9182389937106918,1.0
PatchTST,subject_02,144,0.9097222222222222,0.9527272727272728,0.9097222222222222,1.0
PatchTST,subject_03,116,0.8879310344827587,0.9406392694063926,0.8879310344827587,1.0
PatchTST,subject_04,119,0.8907563025210085,0.9422222222222222,0.8907563025210085,1.0
PatchTST,subject_05,117,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
PatchTST,subject_06,125,0.896,0.9451476793248945,0.896,1.0
TransformerCNN,subject_01,159,0.89937106918239,0.9448275862068966,0.9513888888888888,0.9383561643835616
TransformerCNN,subject_02,144,0.8333333333333334,0.90625,0.928,0.8854961832061069
TransformerCNN,subject_03,116,0.9396551724137931,0.9665071770334929,0.9528301886792453,0.9805825242718447
TransformerCNN,subject_04,119,0.9915966386554622,0.995260663507109,1.0,0.9905660377358491
TransformerCNN,subject_05,117,0.7948717948717948,0.8709677419354839,0.9878048780487805,0.7788461538461539
TransformerCNN,subject_06,125,0.976,0.9865470852017937,0.990990990990991,0.9821428571428571
