model,status,best_val_f1,best_trial_num,n_trials_completed,n_trials_pruned,n_trials_failed,best_lr,best_batch_size,best_dropout,best_weight_decay,best_focal_gamma,best_model_specific,e4_accuracy,e4_f1,e4_precision,e4_recall,e4_auroc,total_time_min
PatchTST,OK,0.8888888839202279,10,10,5,0,0.0034039375256898845,64,0.3912857568698415,4.939122034488653e-05,2.0,"{""d_model"": 256, ""n_heads"": 2, ""n_layers"": 4, ""d_ff"": 256}",0.9,0.9473684210526315,0.9,1.0,0.7637884432756228,1.9247570284833273
TransformerCNN,OK,0.8974854881956236,7,11,4,0,0.000493733512095047,128,0.085596731911287,0.00018790644641318018,2.0,"{""d_model"": 256, ""n_heads"": 2, ""n_layers"": 2, ""d_ff"": 512, ""n_conv_layers"": 1, ""cnn_kernel"": 5}",0.9038461538461539,0.9454545454545454,0.9658246656760773,0.9259259259259259,0.8571846007743443,7.147076995083323
iTransformer,OK,0.8888888839202279,3,12,3,0,0.0015182972564392438,32,0.20890583522346828,0.0033434811637572818,2.0,"{""d_model"": 128, ""n_heads"": 2, ""n_layers"": 4, ""d_ff"": 128}",0.8948717948717949,0.9445196211096076,0.8994845360824743,0.9943019943019943,0.39770984001753235,2.220530704283374
Medformer,OK,0.9011406793770331,9,11,4,0,0.0002271827012147676,64,0.20558107481202714,0.0008602428586399432,2.0,"{""d_model"": 128, ""n_heads"": 4, ""n_layers"": 2}",0.8769230769230769,0.9310344827586207,0.9391304347826087,0.9230769230769231,0.7795401417196289,2.301645764800014
TimeMixerPP,OK,0.8722986197224807,31,11,4,30,0.0009758080239388809,32,0.02852609084853837,1.044062378363392e-05,2.0,"{""d_model"": 64, ""n_blocks"": 1, ""k_periods"": 3, ""n_heads"": 2}",0.8397435897435898,0.9060856498873028,0.958664546899841,0.8589743589743589,0.8364836730221347,7.972569068233315
TSLANet,OK,0.8988326797906101,0,12,3,0,0.0005611516415334506,32,0.292797576724562,0.0071144760093434225,2.0,"{""d_model"": 128, ""n_blocks"": 4}",0.7589743589743589,0.8528951486697965,0.9461805555555556,0.7763532763532763,0.7701986996858792,2.5757254783666514
TimesNet,OK,0.8988326797906101,14,15,0,0,0.00013272824850494078,64,0.24371625416420536,0.0006217056674819389,2.0,"{""d_model"": 64, ""n_blocks"": 4, ""k_periods"": 2}",0.7512820512820513,0.8474842767295597,0.9456140350877194,0.7678062678062678,0.80027759514939,5.91931678568338
ModernTCN,OK,0.9011857657191957,9,9,6,0,0.0008873369675509132,64,0.2987124093269809,0.00436543933838855,2.0,"{""d_model"": 64, ""n_blocks"": 4}",0.7243589743589743,0.8242027800490597,0.9673704414587332,0.717948717948718,0.8741233837387684,2.2142852831000104
CrossGNN,OK,0.8936170162421947,12,15,0,0,0.0013373547771210806,128,0.041935287621616114,0.001103269454092511,2.0,"{""d_model"": 32, ""n_layers"": 3}",0.6794871794871795,0.7909698996655519,0.9574898785425101,0.6737891737891738,0.7782343487471693,11.757910971549972
Mamba2,OK,0.8875968941907038,13,14,1,1,0.00015253221766837506,64,0.31090080389295816,7.83477236035364e-05,2.0,"{""d_model"": 32, ""d_state"": 32, ""n_layers"": 2}",0.6397435897435897,0.7587982832618025,0.9546436285097192,0.6296296296296297,0.8204215063189423,135.25256733414997
