model,subject,n_windows,accuracy,f1,precision,recall
PatchTST,subject_01,159,0.9182389937106918,0.9573770491803278,0.9182389937106918,1.0
PatchTST,subject_02,144,0.9097222222222222,0.9527272727272728,0.9097222222222222,1.0
PatchTST,subject_03,116,0.8879310344827587,0.9406392694063926,0.8879310344827587,1.0
PatchTST,subject_04,119,0.8907563025210085,0.9422222222222222,0.8907563025210085,1.0
PatchTST,subject_05,117,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
PatchTST,subject_06,125,0.896,0.9451476793248945,0.896,1.0
TransformerCNN,subject_01,159,0.89937106918239,0.9448275862068966,0.9513888888888888,0.9383561643835616
TransformerCNN,subject_02,144,0.8333333333333334,0.90625,0.928,0.8854961832061069
TransformerCNN,subject_03,116,0.9396551724137931,0.9665071770334929,0.9528301886792453,0.9805825242718447
TransformerCNN,subject_04,119,0.9915966386554622,0.995260663507109,1.0,0.9905660377358491
TransformerCNN,subject_05,117,0.7948717948717948,0.8709677419354839,0.9878048780487805,0.7788461538461539
TransformerCNN,subject_06,125,0.976,0.9865470852017937,0.990990990990991,0.9821428571428571
iTransformer,subject_01,159,0.9119496855345912,0.9539473684210527,0.9177215189873418,0.9931506849315068
iTransformer,subject_02,144,0.9027777777777778,0.948905109489051,0.9090909090909091,0.9923664122137404
iTransformer,subject_03,116,0.8793103448275862,0.9357798165137615,0.8869565217391304,0.9902912621359223
iTransformer,subject_04,119,0.8907563025210085,0.9422222222222222,0.8907563025210085,1.0
iTransformer,subject_05,117,0.8803418803418803,0.9363636363636364,0.8879310344827587,0.9903846153846154
iTransformer,subject_06,125,0.896,0.9451476793248945,0.896,1.0
