model,val_f1,trial_no,lr,wd,dropout,bs,d_model,n_blocks,k_periods,n_heads,patience,e4_accuracy,e4_f1,e4_precision,e4_recall,e4_auroc,n_layers,d_state,d_ff,n_conv_layers,cnn_kernel
CrossGNN,0.9756097510639272,6,0.00964321820344378,0.001548032798946949,0.13758926013138395,32,64,,,,73,0.8987179487179487,0.9439318665720369,0.9405940594059405,0.9472934472934473,0.7345952954927314,3.0,,,,
TimesNet,0.9719626117900254,12,0.0004033388431032321,0.00019989790022103038,0.10525561845839082,128,32,2.0,5.0,,93,0.8256410256410256,0.9014492753623189,0.9174041297935103,0.886039886039886,0.6158594491927825,,,,,
Mamba2,0.9701492486995991,2,0.0015304852121831463,1.3783237455007187e-05,0.24301794076057537,128,32,,,,75,0.9064102564102564,0.9503063308373043,0.910039113428944,0.9943019943019943,0.6754602235371465,1.0,16.0,,,
TransformerCNN,0.9677419304480267,13,0.0010667854913765397,0.001987920410106473,0.029481303093946636,32,256,,,8.0,84,0.8435897435897436,0.9123563218390804,0.9202898550724637,0.9045584045584045,0.718058294981372,3.0,,128.0,1.0,7.0
ModernTCN,0.96435271541707,10,0.00014631420737218462,1.1677536416705781e-05,0.06586857772445559,32,256,1.0,,,61,0.7871794871794872,0.8766716196136701,0.9161490683229814,0.8404558404558404,0.642952370516473,,,,,
Medformer,0.9625468114467871,4,0.0018199961682604955,0.0009978565648095879,0.26175060910830134,32,128,,,4.0,67,0.8948717948717949,0.9436813186813187,0.9111405835543767,0.9786324786324786,0.7321663379355687,1.0,,,,
PatchTST,0.9608938497178269,11,0.008270403581566253,0.0005487803045311022,0.2814739059767606,128,64,,,8.0,87,0.8076923076923077,0.8916184971098265,0.9046920821114369,0.8789173789173789,0.7233910439038644,1.0,,512.0,,
TimeMixerPP,0.9576427205722251,11,0.0016202162213232946,0.0002453031885254973,0.037648755911789566,128,256,4.0,4.0,2.0,75,0.9064102564102564,0.9500342231348392,0.9143610013175231,0.9886039886039886,0.8770728322010373,,,,,
TSLANet,0.9574861317558707,11,0.0009239759539528132,1.404776898323358e-05,0.10633091672223487,64,256,2.0,,,83,0.8166666666666667,0.897196261682243,0.9056603773584906,0.8888888888888888,0.6759898458616407,,,,,
iTransformer,0.9107142807072705,6,0.003154605390535428,0.00025327773734505865,0.23132651175200253,32,64,,,8.0,100,0.8897435897435897,0.9414965986394558,0.9010416666666666,0.9857549857549858,0.5488165680473372,1.0,,128.0,,
