model,subject,n_windows,accuracy,f1,precision,recall
TimeMixerPP,subject_01,159,0.9182389937106918,0.9573770491803278,0.9182389937106918,1.0
TimeMixerPP,subject_02,144,0.875,0.9318181818181818,0.924812030075188,0.9389312977099237
TimeMixerPP,subject_03,116,0.896551724137931,0.944954128440367,0.8956521739130435,1.0
TimeMixerPP,subject_04,119,0.8907563025210085,0.9422222222222222,0.8907563025210085,1.0
TimeMixerPP,subject_05,117,0.9572649572649573,0.9765258215962441,0.9541284403669725,1.0
TimeMixerPP,subject_06,125,0.904,0.9491525423728814,0.9032258064516129,1.0
Medformer,subject_01,159,0.8930817610062893,0.9431438127090301,0.9215686274509803,0.9657534246575342
Medformer,subject_02,144,0.9027777777777778,0.9481481481481482,0.920863309352518,0.9770992366412213
Medformer,subject_03,116,0.8879310344827587,0.9400921658986175,0.8947368421052632,0.9902912621359223
Medformer,subject_04,119,0.9243697478991597,0.958904109589041,0.9292035398230089,0.9905660377358491
Medformer,subject_05,117,0.8547008547008547,0.9209302325581395,0.8918918918918919,0.9519230769230769
Medformer,subject_06,125,0.904,0.9491525423728814,0.9032258064516129,1.0
TSLANet,subject_01,159,0.7295597484276729,0.8413284132841329,0.912,0.7808219178082192
TSLANet,subject_02,144,0.8125,0.8957528957528957,0.90625,0.8854961832061069
TSLANet,subject_03,116,0.8793103448275862,0.9357798165137615,0.8869565217391304,0.9902912621359223
TSLANet,subject_04,119,0.8151260504201681,0.897196261682243,0.8888888888888888,0.9056603773584906
TSLANet,subject_05,117,0.8888888888888888,0.9359605911330049,0.9595959595959596,0.9134615384615384
TSLANet,subject_06,125,0.808,0.8938053097345132,0.8859649122807017,0.9017857142857143
ModernTCN,subject_01,159,0.8176100628930818,0.8897338403041825,1.0,0.8013698630136986
ModernTCN,subject_02,144,0.8125,0.8924302788844621,0.9333333333333333,0.8549618320610687
ModernTCN,subject_03,116,0.7844827586206896,0.8792270531400966,0.875,0.883495145631068
ModernTCN,subject_04,119,0.7899159663865546,0.8803827751196173,0.8932038834951457,0.8679245283018868
ModernTCN,subject_05,117,0.7350427350427351,0.841025641025641,0.9010989010989011,0.7884615384615384
ModernTCN,subject_06,125,0.768,0.8687782805429864,0.8807339449541285,0.8571428571428571
CrossGNN,subject_01,159,0.9245283018867925,0.9571428571428572,1.0,0.9178082191780822
CrossGNN,subject_02,144,0.8472222222222222,0.912,0.957983193277311,0.8702290076335878
CrossGNN,subject_03,116,0.8879310344827587,0.9406392694063926,0.8879310344827587,1.0
CrossGNN,subject_04,119,0.8739495798319328,0.9295774647887324,0.9252336448598131,0.9339622641509434
CrossGNN,subject_05,117,0.9743589743589743,0.985781990521327,0.9719626168224299,1.0
CrossGNN,subject_06,125,0.888,0.940677966101695,0.8951612903225806,0.9910714285714286
TimesNet,subject_01,159,0.8113207547169812,0.8880597014925373,0.9754098360655737,0.815068493150685
TimesNet,subject_02,144,0.7916666666666666,0.8809523809523809,0.9173553719008265,0.8473282442748091
TimesNet,subject_03,116,0.853448275862069,0.92018779342723,0.8909090909090909,0.9514563106796117
TimesNet,subject_04,119,0.8235294117647058,0.9014084507042254,0.897196261682243,0.9056603773584906
TimesNet,subject_05,117,0.8803418803418803,0.9333333333333333,0.9245283018867925,0.9423076923076923
TimesNet,subject_06,125,0.808,0.8928571428571429,0.8928571428571429,0.8928571428571429
Mamba2,subject_01,159,0.9245283018867925,0.9605263157894737,0.9240506329113924,1.0
Mamba2,subject_02,144,0.8888888888888888,0.9411764705882353,0.9078014184397163,0.9770992366412213
Mamba2,subject_03,116,0.8879310344827587,0.9406392694063926,0.8879310344827587,1.0
Mamba2,subject_04,119,0.8823529411764706,0.9375,0.8898305084745762,0.9905660377358491
Mamba2,subject_05,117,0.9572649572649573,0.9765258215962441,0.9541284403669725,1.0
Mamba2,subject_06,125,0.896,0.9451476793248945,0.896,1.0
iTransformer,subject_01,159,0.8805031446540881,0.9364548494983278,0.9150326797385621,0.958904109589041
iTransformer,subject_02,144,0.9027777777777778,0.948905109489051,0.9090909090909091,0.9923664122137404
iTransformer,subject_03,116,0.8879310344827587,0.9400921658986175,0.8947368421052632,0.9902912621359223
iTransformer,subject_04,119,0.8823529411764706,0.9375,0.8898305084745762,0.9905660377358491
iTransformer,subject_05,117,0.8803418803418803,0.9363636363636364,0.8879310344827587,0.9903846153846154
iTransformer,subject_06,125,0.904,0.9491525423728814,0.9032258064516129,1.0
PatchTST,subject_01,159,0.7672955974842768,0.8603773584905661,0.957983193277311,0.7808219178082192
PatchTST,subject_02,144,0.7986111111111112,0.8853754940711462,0.9180327868852459,0.8549618320610687
PatchTST,subject_03,116,0.853448275862069,0.9209302325581395,0.8839285714285714,0.9611650485436893
PatchTST,subject_04,119,0.8235294117647058,0.9032258064516129,0.8828828828828829,0.9245283018867925
PatchTST,subject_05,117,0.8290598290598291,0.9056603773584906,0.8888888888888888,0.9230769230769231
PatchTST,subject_06,125,0.792,0.8828828828828829,0.8909090909090909,0.875
TransformerCNN,subject_01,159,0.8301886792452831,0.9039145907473309,0.9407407407407408,0.8698630136986302
TransformerCNN,subject_02,144,0.875,0.9307692307692308,0.937984496124031,0.9236641221374046
TransformerCNN,subject_03,116,0.9051724137931034,0.9488372093023256,0.9107142857142857,0.9902912621359223
TransformerCNN,subject_04,119,0.8487394957983193,0.9166666666666666,0.9,0.9339622641509434
TransformerCNN,subject_05,117,0.811965811965812,0.8888888888888888,0.9361702127659575,0.8461538461538461
TransformerCNN,subject_06,125,0.792,0.8828828828828829,0.8909090909090909,0.875
