model,status,best_val_f1,best_trial_num,n_trials_completed,n_trials_pruned,n_trials_failed,best_lr,best_batch_size,best_dropout,best_weight_decay,best_focal_gamma,best_model_specific,e4_accuracy,e4_f1,e4_precision,e4_recall,e4_auroc,total_time_min
Mamba2,OK,0.9701492486995991,2,15,0,0,0.0015304852121831463,128,0.24301794076057537,1.3783237455007187e-05,2.0,"{""d_model"": 32, ""d_state"": 16, ""n_layers"": 1, ""patience"": 75}",0.9064102564102564,0.9503063308373043,0.910039113428944,0.9943019943019943,0.6754602235371465,1080.0382550930663
TimeMixerPP,OK,0.9576427205722251,11,15,0,0,0.0016202162213232946,128,0.037648755911789566,0.0002453031885254973,2.0,"{""d_model"": 256, ""n_blocks"": 4, ""k_periods"": 4, ""n_heads"": 2, ""patience"": 75}",0.9064102564102564,0.9500342231348392,0.9143610013175231,0.9886039886039886,0.8770728322010373,4241.309644384383
CrossGNN,OK,0.9756097510639272,6,15,0,0,0.00964321820344378,32,0.13758926013138395,0.001548032798946949,2.0,"{""d_model"": 64, ""n_layers"": 3, ""patience"": 73}",0.8987179487179487,0.9439318665720369,0.9405940594059405,0.9472934472934473,0.7345952954927314,21.607591895999697
Medformer,OK,0.9625468114467871,4,15,0,0,0.0018199961682604955,32,0.26175060910830134,0.0009978565648095879,2.0,"{""d_model"": 128, ""n_heads"": 4, ""n_layers"": 1, ""patience"": 67}",0.8948717948717949,0.9436813186813187,0.9111405835543767,0.9786324786324786,0.7321663379355687,25.04756292383293
iTransformer,OK,0.9107142807072705,6,15,0,0,0.003154605390535428,32,0.23132651175200253,0.00025327773734505865,2.0,"{""d_model"": 64, ""n_heads"": 8, ""n_layers"": 1, ""d_ff"": 128, ""patience"": 100}",0.8897435897435897,0.9414965986394558,0.9010416666666666,0.9857549857549858,0.5488165680473372,17.426337190600073
TransformerCNN,OK,0.9677419304480267,13,15,0,0,0.0010667854913765397,32,0.029481303093946636,0.001987920410106473,2.0,"{""d_model"": 256, ""n_heads"": 8, ""n_layers"": 3, ""d_ff"": 128, ""n_conv_layers"": 1, ""cnn_kernel"": 7, ""patience"": 84}",0.8435897435897436,0.9123563218390804,0.9202898550724637,0.9045584045584045,0.718058294981372,122.72038823809999
TimesNet,OK,0.9719626117900254,12,15,0,0,0.0004033388431032321,128,0.10525561845839082,0.00019989790022103038,2.0,"{""d_model"": 32, ""n_blocks"": 2, ""k_periods"": 5, ""patience"": 93}",0.8256410256410256,0.9014492753623189,0.9174041297935103,0.886039886039886,0.6158594491927825,53.56205532818276
TSLANet,OK,0.9574861317558707,11,15,0,0,0.0009239759539528132,64,0.10633091672223487,1.404776898323358e-05,2.0,"{""d_model"": 256, ""n_blocks"": 2, ""patience"": 83}",0.8166666666666667,0.897196261682243,0.9056603773584906,0.8888888888888888,0.6759898458616407,18.958072582850583
PatchTST,OK,0.9608938497178269,11,15,0,0,0.008270403581566253,128,0.2814739059767606,0.0005487803045311022,2.0,"{""d_model"": 64, ""n_heads"": 8, ""n_layers"": 1, ""d_ff"": 512, ""patience"": 87}",0.8076923076923077,0.8916184971098265,0.9046920821114369,0.8789173789173789,0.7233910439038644,13.12542004888334
ModernTCN,OK,0.96435271541707,10,15,0,0,0.00014631420737218462,32,0.06586857772445559,1.1677536416705781e-05,2.0,"{""d_model"": 256, ""n_blocks"": 1, ""patience"": 61}",0.7871794871794872,0.8766716196136701,0.9161490683229814,0.8404558404558404,0.642952370516473,15.251777628199973
