model,val_f1,trial_no,lr,wd,dropout,bs,d_model,n_blocks,k_periods,n_heads,e4_accuracy,e4_f1,e4_precision,e4_recall,e4_auroc,n_layers,d_state,d_ff,n_conv_layers,cnn_kernel
Mamba2,0.9826589544997235,8,0.00035140761597086506,2.0348299942355945e-05,0.39712125331522635,128,32.0,,,,,,,,,1.0,16.0,,,
ModernTCN,0.9790476140107756,10,0.00010235696711480798,0.004277780239291814,0.13784896119228646,64,128.0,4.0,,,,,,,,,,,,
TransformerCNN,0.9770992316042189,9,0.00019560543355328714,2.8100055486828584e-05,0.3070285843471907,32,64.0,,,4.0,0.9025641025641026,0.9472954230235784,0.922972972972973,0.9729344729344729,0.8136642559719482,1.0,,512.0,2.0,7.0
TimesNet,0.9747572765160147,1,0.008706020878304856,0.00314288089084011,0.08493564427131046,128,32.0,3.0,2.0,,,,,,,,,,,
TSLANet,0.9707602288812132,7,0.00020643017925044837,0.00016080629999113213,0.3742247504325699,32,256.0,5.0,,,,,,,,,,,,
Medformer,0.9695817440132141,5,0.00011627452228405396,1.8258921551989847e-05,0.11090020242431314,64,128.0,,,4.0,,,,,,3.0,,,,
CrossGNN,0.9625468114467871,0,0.0005611516415334506,0.0071144760093434225,0.292797576724562,32,64.0,,,,,,,,,3.0,,,,
TimeMixerPP,0.9608938497178269,9,0.007118873562140953,0.00010992118525433709,0.31909550262338043,64,128.0,2.0,4.0,2.0,,,,,,,,,,
PatchTST,0.9509433911923104,8,0.00027675470380927625,0.0006933749812121859,0.11239074152899324,32,256.0,,,2.0,,,,,,1.0,,512.0,,
iTransformer,0.9106830072671842,11,0.0013637097274127184,0.004306349010686995,0.1441935214110301,128,64.0,,,2.0,,,,,,4.0,,256.0,,
Chronos2,0.888489203622095,2,0.004622589001020831,4.335281794951564e-05,0.07272998688284026,128,,,,,0.9012820512820513,0.9474402730375426,0.90956749672346,0.9886039886039886,0.6029932792753306,,,,,
