model,subject,n_windows,accuracy,f1,precision,recall
TimeMixerPP,subject_01,159,0.8113207547169812,0.8958333333333334,0.9084507042253521,0.8835616438356164
TimeMixerPP,subject_02,144,0.8402777777777778,0.9111969111969112,0.921875,0.9007633587786259
TimeMixerPP,subject_03,116,0.8879310344827587,0.9400921658986175,0.8947368421052632,0.9902912621359223
TimeMixerPP,subject_04,119,0.865546218487395,0.9272727272727272,0.8947368421052632,0.9622641509433962
TimeMixerPP,subject_05,117,0.6837606837606838,0.7978142076502732,0.9240506329113924,0.7019230769230769
TimeMixerPP,subject_06,125,0.816,0.8977777777777778,0.8938053097345132,0.9017857142857143
Medformer,subject_01,159,0.7295597484276729,0.8313725490196079,0.9724770642201835,0.726027397260274
Medformer,subject_02,144,0.7986111111111112,0.8806584362139918,0.9553571428571429,0.816793893129771
Medformer,subject_03,116,0.8103448275862069,0.8942307692307693,0.8857142857142857,0.9029126213592233
Medformer,subject_04,119,0.865546218487395,0.9207920792079208,0.96875,0.8773584905660378
Medformer,subject_05,117,0.9658119658119658,0.9811320754716981,0.9629629629629629,1.0
Medformer,subject_06,125,0.784,0.8778280542986425,0.8899082568807339,0.8660714285714286
TSLANet,subject_01,159,0.6289308176100629,0.757201646090535,0.9484536082474226,0.6301369863013698
TSLANet,subject_02,144,0.7152777777777778,0.8240343347639485,0.9411764705882353,0.732824427480916
TSLANet,subject_03,116,0.8275862068965517,0.9038461538461539,0.8952380952380953,0.912621359223301
TSLANet,subject_04,119,0.773109243697479,0.8656716417910447,0.9157894736842105,0.8207547169811321
TSLANet,subject_05,117,0.905982905982906,0.9458128078817734,0.9696969696969697,0.9230769230769231
TSLANet,subject_06,125,0.704,0.8262910798122066,0.8712871287128713,0.7857142857142857
ModernTCN,subject_01,159,0.7735849056603774,0.859375,1.0,0.7534246575342466
ModernTCN,subject_02,144,0.8611111111111112,0.9173553719008265,1.0,0.8473282442748091
ModernTCN,subject_03,116,0.8879310344827587,0.9406392694063926,0.8879310344827587,1.0
ModernTCN,subject_04,119,0.8403361344537815,0.9090909090909091,0.9223300970873787,0.8962264150943396
ModernTCN,subject_05,117,0.9487179487179487,0.9719626168224299,0.9454545454545454,1.0
ModernTCN,subject_06,125,0.744,0.8532110091743119,0.8773584905660378,0.8303571428571429
CrossGNN,subject_01,159,0.8805031446540881,0.9347079037800687,0.9379310344827586,0.9315068493150684
CrossGNN,subject_02,144,0.7777777777777778,0.8709677419354839,0.9230769230769231,0.8244274809160306
CrossGNN,subject_03,116,0.8706896551724138,0.9308755760368663,0.8859649122807017,0.9805825242718447
CrossGNN,subject_04,119,0.8823529411764706,0.9369369369369369,0.896551724137931,0.9811320754716981
CrossGNN,subject_05,117,0.9572649572649573,0.9765258215962441,0.9541284403669725,1.0
CrossGNN,subject_06,125,0.864,0.927038626609442,0.8925619834710744,0.9642857142857143
TimesNet,subject_01,159,0.9119496855345912,0.9496402877697842,1.0,0.9041095890410958
TimesNet,subject_02,144,0.8194444444444444,0.8976377952755905,0.926829268292683,0.8702290076335878
TimesNet,subject_03,116,0.8706896551724138,0.9308755760368663,0.8859649122807017,0.9805825242718447
TimesNet,subject_04,119,0.8487394957983193,0.9117647058823529,0.9489795918367347,0.8773584905660378
TimesNet,subject_05,117,0.8547008547008547,0.916256157635468,0.9393939393939394,0.8942307692307693
TimesNet,subject_06,125,0.808,0.8938053097345132,0.8859649122807017,0.9017857142857143
