model,status,best_val_f1,best_trial_num,n_trials_completed,n_trials_pruned,n_trials_failed,best_lr,best_batch_size,best_dropout,best_weight_decay,best_focal_gamma,best_model_specific,e4_accuracy,e4_f1,e4_precision,e4_recall,e4_auroc,total_time_min
TransformerCNN,OK,0.9770992316042189,9,11,4,0,0.00019560543355328714,32,0.3070285843471907,2.8100055486828584e-05,2.0,"{""d_model"": 64, ""n_heads"": 4, ""n_layers"": 1, ""d_ff"": 512, ""n_conv_layers"": 2, ""cnn_kernel"": 7}",0.9025641025641026,0.9472954230235784,0.922972972972973,0.9729344729344729,0.813682518810724,10.421004307349843
CrossGNN,OK,0.9625468114467871,0,7,8,0,0.0005611516415334506,32,0.292797576724562,0.0071144760093434225,2.0,"{""d_model"": 64, ""n_layers"": 3}",0.8692307692307693,0.9283707865168539,0.9155124653739612,0.9415954415954416,0.6904083570750237,10.940250526199938
Mamba2,OK,0.9826589544997235,8,14,1,0,0.00035140761597086506,128,0.39712125331522635,2.0348299942355945e-05,2.0,"{""d_model"": 32, ""d_state"": 16, ""n_layers"": 1}",0.867948717948718,0.9254163649529327,0.9410898379970545,0.9102564102564102,0.7706004821389436,245.44351143269995
TimesNet,OK,0.9747572765160147,1,12,3,0,0.008706020878304856,128,0.08493564427131046,0.00314288089084011,2.0,"{""d_model"": 32, ""n_blocks"": 3, ""k_periods"": 2}",0.8538461538461538,0.9175108538350217,0.9323529411764706,0.9031339031339032,0.7865713346482577,5.849255464666688
ModernTCN,OK,0.9790476140107756,10,13,2,0,0.00010235696711480798,64,0.13784896119228646,0.004277780239291814,2.0,"{""d_model"": 128, ""n_blocks"": 4}",0.8384615384615385,0.9072164948453608,0.9390243902439024,0.8774928774928775,0.8191705018628096,1.240855536433325
TimeMixerPP,OK,0.9608938497178269,9,12,3,0,0.007118873562140953,64,0.31909550262338043,0.00010992118525433709,2.0,"{""d_model"": 128, ""n_blocks"": 2, ""k_periods"": 4, ""n_heads"": 2}",0.8179487179487179,0.8979885057471264,0.9057971014492754,0.8903133903133903,0.7573233983490394,11.027137750149995
Medformer,OK,0.9695817440132141,5,13,2,0,0.00011627452228405396,64,0.11090020242431314,1.8258921551989847e-05,2.0,"{""d_model"": 128, ""n_heads"": 4, ""n_layers"": 3}",0.8192307692307692,0.8948545861297539,0.9389671361502347,0.8547008547008547,0.7900230111768574,3.291631532450022
PatchTST,OK,0.9509433911923104,8,11,4,0,0.00027675470380927625,32,0.11239074152899324,0.0006933749812121859,2.0,"{""d_model"": 256, ""n_heads"": 2, ""n_layers"": 1, ""d_ff"": 512}",0.7897435897435897,0.8783382789317508,0.9164086687306502,0.8433048433048433,0.8083589013076192,2.1484665541833237
TSLANet,OK,0.9707602288812132,7,12,3,0,0.00020643017925044837,32,0.3742247504325699,0.00016080629999113213,2.0,"{""d_model"": 256, ""n_blocks"": 5}",0.75,0.8501152959262106,0.9232053422370617,0.7877492877492878,0.7419552195193221,2.7517073318666614
iTransformer,OK,0.9106830072671842,11,14,1,0,0.0013637097274127184,128,0.1441935214110301,0.004306349010686995,2.0,"{""d_model"": 64, ""n_heads"": 2, ""n_layers"": 4, ""d_ff"": 256}",0.7,0.8183229813664596,0.8993174061433447,0.7507122507122507,0.47937212360289283,1.4590702512666516
