model,val_f1,trial_no,lr,wd,dropout,bs,d_model,n_blocks,k_periods,n_heads,e4_accuracy,e4_f1,e4_precision,e4_recall,e4_auroc,n_layers,d_state,d_ff,n_conv_layers,cnn_kernel
Medformer,0.9211009124079118,5,0.002698769670986446,3.918170027764555e-05,0.20681837565191039,128,128.0,,,2.0,,,,,,4.0,,,,
TimeMixerPP,0.9111531140596267,12,0.005895274106334408,0.003602285983503259,0.27887368511935423,64,128.0,3.0,5.0,2.0,,,,,,,,,,
ModernTCN,0.9056603723260948,14,0.005482411837629392,0.00042348118155363673,0.14216160649599943,32,256.0,3.0,,,,,,,,,,,,
PatchTST,0.9044117596823638,8,0.009212940559108285,1.7610855457578624e-05,0.235607397680342,64,256.0,,,2.0,,,,,,1.0,,256.0,,
TransformerCNN,0.9038112472516229,13,0.0014564858207419195,2.9115847107815495e-05,0.22928006443156312,128,256.0,,,2.0,,,,,,1.0,,256.0,1.0,5.0
Mamba2,0.898661562843428,13,0.0005117649526508141,0.0014906272944146578,0.201116556889778,128,128.0,,,,,,,,,1.0,8.0,,,
Chronos2,0.8964218405427701,1,0.00013066739238053285,0.003967605077052989,0.24044600469728353,128,,,,,,,,,,,,,,
CrossGNN,0.8948374710653715,11,0.008703535705632853,5.7339218057712215e-05,0.11080405085990938,64,128.0,,,,,,,,,1.0,,,,
TSLANet,0.8942115718178015,10,0.0002493610501829626,0.0027698484238014203,0.09552313662256758,128,256.0,1.0,,,,,,,,,,,,
TimesNet,0.8933601559405528,14,0.001831041775897934,5.2370650397844795e-05,0.2223990797532345,32,128.0,1.0,2.0,,,,,,,,,,,
iTransformer,0.8888888839202279,3,0.0012239438471271877,0.0008147548650355288,0.13026605177250067,64,256.0,,,2.0,,,,,,4.0,,256.0,,
