model,subject,n_windows,accuracy,f1,precision,recall
TimeMixerPP,subject_01,159,0.9433962264150944,0.9681978798586572,1.0,0.9383561643835616
TimeMixerPP,subject_02,144,0.75,0.8407079646017699,1.0,0.7251908396946565
TimeMixerPP,subject_03,75,0.7866666666666666,0.8769230769230769,0.8382352941176471,0.9193548387096774
TimeMixerPP,subject_04,106,0.8773584905660378,0.9346733668341709,0.8773584905660378,1.0
TimeMixerPP,subject_05,117,0.9572649572649573,0.9758454106280193,0.9805825242718447,0.9711538461538461
TimeMixerPP,subject_06,68,0.7058823529411765,0.8275862068965517,0.7868852459016393,0.8727272727272727
Medformer,subject_01,159,0.9559748427672956,0.9754385964912281,1.0,0.952054794520548
Medformer,subject_02,144,0.9236111111111112,0.9561752988047809,1.0,0.916030534351145
Medformer,subject_03,75,0.8133333333333334,0.8970588235294118,0.8243243243243243,0.9838709677419355
Medformer,subject_04,106,0.8773584905660378,0.9346733668341709,0.8773584905660378,1.0
Medformer,subject_05,117,0.9316239316239316,0.9629629629629629,0.9285714285714286,1.0
Medformer,subject_06,68,0.8088235294117647,0.8943089430894309,0.8088235294117647,1.0
TSLANet,subject_01,159,0.9119496855345912,0.9496402877697842,1.0,0.9041095890410958
TSLANet,subject_02,144,0.8263888888888888,0.8945147679324894,1.0,0.8091603053435115
TSLANet,subject_03,75,0.7733333333333333,0.8468468468468469,0.9591836734693877,0.7580645161290323
TSLANet,subject_04,106,0.7924528301886793,0.8658536585365854,1.0,0.7634408602150538
TSLANet,subject_05,117,0.8888888888888888,0.9333333333333333,1.0,0.875
TSLANet,subject_06,68,0.8970588235294118,0.9401709401709402,0.8870967741935484,1.0
ModernTCN,subject_01,159,0.9433962264150944,0.9681978798586572,1.0,0.9383561643835616
ModernTCN,subject_02,144,0.9444444444444444,0.968503937007874,1.0,0.9389312977099237
ModernTCN,subject_03,75,0.7866666666666666,0.8805970149253731,0.8194444444444444,0.9516129032258065
ModernTCN,subject_04,106,0.8773584905660378,0.9346733668341709,0.8773584905660378,1.0
ModernTCN,subject_05,117,1.0,1.0,1.0,1.0
ModernTCN,subject_06,68,0.8088235294117647,0.8943089430894309,0.8088235294117647,1.0
CrossGNN,subject_01,159,0.9245283018867925,0.9571428571428572,1.0,0.9178082191780822
CrossGNN,subject_02,144,0.8541666666666666,0.9128630705394191,1.0,0.8396946564885496
CrossGNN,subject_03,75,0.76,0.847457627118644,0.8928571428571429,0.8064516129032258
CrossGNN,subject_04,106,0.9716981132075472,0.9841269841269841,0.96875,1.0
CrossGNN,subject_05,117,0.9743589743589743,0.9853658536585366,1.0,0.9711538461538461
CrossGNN,subject_06,68,0.8088235294117647,0.8943089430894309,0.8088235294117647,1.0
TimesNet,subject_01,159,0.9119496855345912,0.9496402877697842,1.0,0.9041095890410958
TimesNet,subject_02,144,0.8402777777777778,0.9037656903765691,1.0,0.8244274809160306
TimesNet,subject_03,75,0.7866666666666666,0.8571428571428571,0.96,0.7741935483870968
TimesNet,subject_04,106,0.8773584905660378,0.9248554913294798,1.0,0.8602150537634409
TimesNet,subject_05,117,0.9401709401709402,0.9651741293532339,1.0,0.9326923076923077
TimesNet,subject_06,68,0.8235294117647058,0.9016393442622951,0.8208955223880597,1.0
Mamba2,subject_01,159,0.9308176100628931,0.9608540925266904,1.0,0.9246575342465754
Mamba2,subject_02,144,0.8541666666666666,0.9128630705394191,1.0,0.8396946564885496
Mamba2,subject_03,75,0.7466666666666667,0.8455284552845529,0.8524590163934426,0.8387096774193549
Mamba2,subject_04,106,0.9245283018867925,0.9587628865979382,0.9207920792079208,1.0
Mamba2,subject_05,117,0.9829059829059829,0.9902912621359223,1.0,0.9807692307692307
Mamba2,subject_06,68,0.8088235294117647,0.8943089430894309,0.8088235294117647,1.0
iTransformer,subject_01,159,0.9182389937106918,0.9573770491803278,0.9182389937106918,1.0
iTransformer,subject_02,144,0.9097222222222222,0.9527272727272728,0.9097222222222222,1.0
iTransformer,subject_03,75,0.8266666666666667,0.9051094890510949,0.8266666666666667,1.0
iTransformer,subject_04,106,0.8773584905660378,0.9346733668341709,0.8773584905660378,1.0
iTransformer,subject_05,117,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
iTransformer,subject_06,68,0.8088235294117647,0.8943089430894309,0.8088235294117647,1.0
PatchTST,subject_01,159,0.9371069182389937,0.9645390070921985,1.0,0.9315068493150684
PatchTST,subject_02,144,0.9375,0.9644268774703557,1.0,0.9312977099236641
PatchTST,subject_03,75,0.8,0.8888888888888888,0.821917808219178,0.967741935483871
PatchTST,subject_04,106,0.8773584905660378,0.9346733668341709,0.8773584905660378,1.0
PatchTST,subject_05,117,1.0,1.0,1.0,1.0
PatchTST,subject_06,68,0.8088235294117647,0.8943089430894309,0.8088235294117647,1.0
Chronos2,subject_01,159,0.9811320754716981,0.9897610921501706,0.9863945578231292,0.9931506849315068
Chronos2,subject_02,144,0.7708333333333334,0.8607594936708861,0.9622641509433962,0.7786259541984732
Chronos2,subject_03,75,0.9066666666666666,0.943089430894309,0.9508196721311475,0.9354838709677419
Chronos2,subject_04,106,0.9622641509433962,0.978021978021978,1.0,0.956989247311828
Chronos2,subject_05,117,0.9230769230769231,0.9552238805970149,0.9896907216494846,0.9230769230769231
Chronos2,subject_06,68,0.8676470588235294,0.918918918918919,0.9107142857142857,0.9272727272727272
TransformerCNN,subject_01,159,0.9811320754716981,0.9896193771626297,1.0,0.9794520547945206
TransformerCNN,subject_02,144,0.875,0.9274193548387096,0.9829059829059829,0.8778625954198473
TransformerCNN,subject_03,75,0.8133333333333334,0.8970588235294118,0.8243243243243243,0.9838709677419355
TransformerCNN,subject_04,106,0.8773584905660378,0.9346733668341709,0.8773584905660378,1.0
TransformerCNN,subject_05,117,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
TransformerCNN,subject_06,68,0.7058823529411765,0.8275862068965517,0.7868852459016393,0.8727272727272727
