model,status,best_val_f1,best_trial_num,n_trials_completed,n_trials_pruned,n_trials_failed,best_lr,best_batch_size,best_dropout,best_weight_decay,best_focal_gamma,best_model_specific,e4_accuracy,e4_f1,e4_precision,e4_recall,e4_auroc,total_time_min
ModernTCN,OK,0.9056603723260948,14,11,4,0,0.005482411837629392,32,0.14216160649599943,0.00042348118155363673,2.0,"{""d_model"": 256, ""n_blocks"": 3}",0.9118086696562033,0.9508742714404663,0.9360655737704918,0.9661590524534687,0.9026855828886287,1.0516080991000005
PatchTST,OK,0.9044117596823638,8,13,2,0,0.009212940559108285,64,0.235607397680342,1.7610855457578624e-05,2.0,"{""d_model"": 256, ""n_heads"": 2, ""n_layers"": 1, ""d_ff"": 256}",0.9103139013452914,0.95,0.9359605911330049,0.9644670050761421,0.9323397978220314,1.3446882868166654
Medformer,OK,0.9211009124079118,5,12,3,0,0.002698769670986446,128,0.20681837565191039,3.918170027764555e-05,2.0,"{""d_model"": 128, ""n_heads"": 2, ""n_layers"": 4}",0.9013452914798207,0.9454545454545454,0.9240710823909531,0.9678510998307953,0.9051151893791487,1.9868101233499995
CrossGNN,OK,0.8948374710653715,11,11,4,0,0.008703535705632853,64,0.11080405085990938,5.7339218057712215e-05,2.0,"{""d_model"": 128, ""n_layers"": 1}",0.8953662182361734,0.9394463667820069,0.9610619469026549,0.9187817258883249,0.9291617857607706,0.7962019302500001
iTransformer,OK,0.8888888839202279,3,7,8,0,0.0012239438471271877,64,0.13026605177250067,0.0008147548650355288,2.0,"{""d_model"": 256, ""n_heads"": 2, ""n_layers"": 4, ""d_ff"": 256}",0.8834080717488789,0.9380952380952381,0.8834080717488789,1.0,0.5840925853616209,1.2961860266833356
Mamba2,OK,0.898661562843428,13,15,0,0,0.0005117649526508141,128,0.201116556889778,0.0014906272944146578,2.0,"{""d_model"": 128, ""d_state"": 8, ""n_layers"": 1}",0.8893871449925261,0.9366438356164384,0.9480069324090121,0.9255499153976311,0.9030109766150377,10.862875171649998
TransformerCNN,OK,0.9038112472516229,13,12,3,0,0.0014564858207419195,128,0.22928006443156312,2.9115847107815495e-05,2.0,"{""d_model"": 256, ""n_heads"": 2, ""n_layers"": 1, ""d_ff"": 256, ""n_conv_layers"": 1, ""cnn_kernel"": 5}",0.8789237668161435,0.9330024813895782,0.912621359223301,0.9543147208121827,0.8151329775695257,1.247750654583327
TimesNet,OK,0.8933601559405528,14,11,4,0,0.001831041775897934,32,0.2223990797532345,5.2370650397844795e-05,2.0,"{""d_model"": 128, ""n_blocks"": 1, ""k_periods"": 2}",0.8729446935724963,0.9244444444444444,0.9737827715355806,0.8798646362098139,0.9394116881426526,2.241958546699999
TimeMixerPP,OK,0.9111531140596267,12,15,0,0,0.005895274106334408,64,0.27887368511935423,0.003602285983503259,2.0,"{""d_model"": 128, ""n_blocks"": 3, ""k_periods"": 5, ""n_heads"": 2}",0.852017937219731,0.9147286821705426,0.9315789473684211,0.8984771573604061,0.8533233545923902,3.337654760316667
TSLANet,OK,0.8942115718178015,10,11,4,0,0.0002493610501829626,128,0.09552313662256758,0.0027698484238014203,2.0,"{""d_model"": 256, ""n_blocks"": 1}",0.8535127055306427,0.911070780399274,0.9823874755381604,0.8494077834179357,0.9410061174020565,0.7630974016833335
