model,subject,n_windows,accuracy,f1,precision,recall
ModernTCN,subject_01,159,0.9433962264150944,0.9681978798586572,1.0,0.9383561643835616
ModernTCN,subject_02,144,0.9444444444444444,0.968503937007874,1.0,0.9389312977099237
ModernTCN,subject_03,75,0.7866666666666666,0.8805970149253731,0.8194444444444444,0.9516129032258065
ModernTCN,subject_04,106,0.8773584905660378,0.9346733668341709,0.8773584905660378,1.0
ModernTCN,subject_05,117,1.0,1.0,1.0,1.0
ModernTCN,subject_06,68,0.8088235294117647,0.8943089430894309,0.8088235294117647,1.0
PatchTST,subject_01,159,0.9371069182389937,0.9645390070921985,1.0,0.9315068493150684
PatchTST,subject_02,144,0.9375,0.9644268774703557,1.0,0.9312977099236641
PatchTST,subject_03,75,0.8,0.8888888888888888,0.821917808219178,0.967741935483871
PatchTST,subject_04,106,0.8773584905660378,0.9346733668341709,0.8773584905660378,1.0
PatchTST,subject_05,117,1.0,1.0,1.0,1.0
PatchTST,subject_06,68,0.8088235294117647,0.8943089430894309,0.8088235294117647,1.0
Medformer,subject_01,159,0.9559748427672956,0.9754385964912281,1.0,0.952054794520548
Medformer,subject_02,144,0.9236111111111112,0.9561752988047809,1.0,0.916030534351145
Medformer,subject_03,75,0.8133333333333334,0.8970588235294118,0.8243243243243243,0.9838709677419355
Medformer,subject_04,106,0.8773584905660378,0.9346733668341709,0.8773584905660378,1.0
Medformer,subject_05,117,0.9316239316239316,0.9629629629629629,0.9285714285714286,1.0
Medformer,subject_06,68,0.8088235294117647,0.8943089430894309,0.8088235294117647,1.0
