model,val_f1,trial_no,lr,wd,dropout,bs,d_model,n_blocks,k_periods,n_heads,e4_accuracy,e4_f1,e4_precision,e4_recall,e4_auroc,n_layers,d_state,d_ff,n_conv_layers,cnn_kernel
TSLANet,0.8919382454566049,6,0.007473109166163337,4.560962325101608e-05,0.24003571785566022,64,256.0,4.0,,,,,,,,,,,,
TimeMixerPP,0.8888888839202279,9,0.009294290328028112,5.834152927455556e-05,0.16766643375165488,32,256.0,4.0,2.0,2.0,,,,,,,,,,
Medformer,0.8888888839202279,3,0.001328787714466569,0.0007058078007726601,0.16912577313547253,64,256.0,,,2.0,,,,,,4.0,,,,
PatchTST,0.8888888839202279,6,0.006670949662929746,0.0007720753184574517,0.03441159045073994,32,128.0,,,4.0,,,,,,3.0,,128.0,,
TransformerCNN,0.8888888839202279,11,0.007664269750800881,0.0018821784210575321,0.32166582284727374,64,128.0,,,2.0,0.8992248062015504,0.9469387755102041,0.8992248062015504,1.0,0.40401193633952254,3.0,,128.0,1.0,7.0
iTransformer,0.8888888839202279,3,0.0015182972564392438,0.0033434811637572818,0.20890583522346828,32,128.0,,,2.0,,,,,,4.0,,128.0,,
Mamba2,0.8785714235655613,14,0.006931270972196831,0.00042235790737654244,0.016408152834781198,64,32.0,,,,,,,,,3.0,32.0,,,
CrossGNN,0.8550458665387762,8,0.006525749313801476,0.005438096726381481,0.2610328082943554,64,64.0,,,,,,,,,3.0,,,,
ModernTCN,0.8523364435701982,13,0.00214924459306575,0.003431233112223159,0.204710773200371,32,256.0,1.0,,,,,,,,,,,,
Chronos2,0.8488160241269272,0,0.0005611516415334506,0.0071144760093434225,0.292797576724562,32,,,,,0.8875968992248062,0.9394572025052192,0.9109311740890689,0.9698275862068966,0.6340904067197171,,,,,
TimesNet,0.8326848198710048,9,0.001348184038062732,6.249169086603903e-05,0.3012897576105889,128,128.0,3.0,4.0,,,,,,,,,,,
