model,subject,n_windows,accuracy,f1,precision,recall
TimeMixerPP,subject_01,158,0.9177215189873418,0.9570957095709571,0.9177215189873418,1.0
TimeMixerPP,subject_02,143,0.9090909090909091,0.9523809523809523,0.9090909090909091,1.0
TimeMixerPP,subject_03,115,0.8869565217391304,0.9400921658986175,0.8869565217391304,1.0
TimeMixerPP,subject_04,118,0.8898305084745762,0.9417040358744395,0.8898305084745762,1.0
TimeMixerPP,subject_05,116,0.8879310344827587,0.9406392694063926,0.8879310344827587,1.0
TimeMixerPP,subject_06,124,0.8951612903225806,0.9446808510638298,0.8951612903225806,1.0
Medformer,subject_01,158,0.9177215189873418,0.9570957095709571,0.9177215189873418,1.0
Medformer,subject_02,143,0.9090909090909091,0.9523809523809523,0.9090909090909091,1.0
Medformer,subject_03,115,0.8869565217391304,0.9400921658986175,0.8869565217391304,1.0
Medformer,subject_04,118,0.8898305084745762,0.9417040358744395,0.8898305084745762,1.0
Medformer,subject_05,116,0.8879310344827587,0.9406392694063926,0.8879310344827587,1.0
Medformer,subject_06,124,0.8951612903225806,0.9446808510638298,0.8951612903225806,1.0
TSLANet,subject_01,158,0.6518987341772152,0.7698744769874477,0.9787234042553191,0.6344827586206897
TSLANet,subject_02,143,0.6573426573426573,0.7841409691629956,0.9175257731958762,0.6846153846153846
TSLANet,subject_03,115,0.6782608695652174,0.806282722513089,0.8651685393258427,0.7549019607843137
TSLANet,subject_04,118,0.7288135593220338,0.8241758241758241,0.974025974025974,0.7142857142857143
TSLANet,subject_05,116,0.6379310344827587,0.776595744680851,0.8588235294117647,0.7087378640776699
TSLANet,subject_06,124,0.6693548387096774,0.7897435897435897,0.9166666666666666,0.6936936936936937
ModernTCN,subject_01,158,0.689873417721519,0.8164794007490637,0.8934426229508197,0.7517241379310344
ModernTCN,subject_02,143,0.7272727272727273,0.8381742738589212,0.9099099099099099,0.7769230769230769
ModernTCN,subject_03,115,0.8,0.8729281767955801,1.0,0.7745098039215687
ModernTCN,subject_04,118,0.7711864406779662,0.8586387434554974,0.9534883720930233,0.780952380952381
ModernTCN,subject_05,116,0.9482758620689655,0.970873786407767,0.970873786407767,0.970873786407767
ModernTCN,subject_06,124,0.5967741935483871,0.7474747474747475,0.8505747126436781,0.6666666666666666
CrossGNN,subject_01,158,0.7658227848101266,0.8673835125448028,0.9029850746268657,0.8344827586206897
CrossGNN,subject_02,143,0.7692307692307693,0.8685258964143426,0.9008264462809917,0.8384615384615385
CrossGNN,subject_03,115,0.9391304347826087,0.9644670050761421,1.0,0.9313725490196079
CrossGNN,subject_04,118,0.847457627118644,0.9142857142857143,0.9142857142857143,0.9142857142857143
CrossGNN,subject_05,116,0.9482758620689655,0.9716981132075472,0.944954128440367,1.0
CrossGNN,subject_06,124,0.6612903225806451,0.7961165048543689,0.8631578947368421,0.7387387387387387
TimesNet,subject_01,158,0.6582278481012658,0.7938931297709924,0.8888888888888888,0.7172413793103448
TimesNet,subject_02,143,0.7062937062937062,0.8235294117647058,0.9074074074074074,0.7538461538461538
TimesNet,subject_03,115,0.808695652173913,0.8791208791208791,1.0,0.7843137254901961
TimesNet,subject_04,118,0.7033898305084746,0.8108108108108109,0.9375,0.7142857142857143
TimesNet,subject_05,116,0.9482758620689655,0.97,1.0,0.941747572815534
TimesNet,subject_06,124,0.6370967741935484,0.7761194029850746,0.8666666666666667,0.7027027027027027
Mamba2,subject_01,158,0.34810126582278483,0.46632124352331605,0.9375,0.3103448275862069
Mamba2,subject_02,143,0.36363636363636365,0.48,0.9333333333333333,0.3230769230769231
Mamba2,subject_03,115,0.3217391304347826,0.38095238095238093,1.0,0.23529411764705882
Mamba2,subject_04,118,0.4152542372881356,0.5106382978723404,1.0,0.34285714285714286
Mamba2,subject_05,116,0.46551724137931033,0.5753424657534246,0.9767441860465116,0.4077669902912621
Mamba2,subject_06,124,0.3951612903225806,0.4897959183673469,1.0,0.32432432432432434
iTransformer,subject_01,158,0.9177215189873418,0.9570957095709571,0.9177215189873418,1.0
iTransformer,subject_02,143,0.9090909090909091,0.9523809523809523,0.9090909090909091,1.0
iTransformer,subject_03,115,0.8869565217391304,0.9400921658986175,0.8869565217391304,1.0
iTransformer,subject_04,118,0.8813559322033898,0.9369369369369369,0.8888888888888888,0.9904761904761905
iTransformer,subject_05,116,0.8879310344827587,0.9406392694063926,0.8879310344827587,1.0
iTransformer,subject_06,124,0.8951612903225806,0.9446808510638298,0.8951612903225806,1.0
PatchTST,subject_01,158,0.9177215189873418,0.9570957095709571,0.9177215189873418,1.0
PatchTST,subject_02,143,0.9090909090909091,0.9523809523809523,0.9090909090909091,1.0
PatchTST,subject_03,115,0.8869565217391304,0.9400921658986175,0.8869565217391304,1.0
PatchTST,subject_04,118,0.8898305084745762,0.9417040358744395,0.8898305084745762,1.0
PatchTST,subject_05,116,0.8879310344827587,0.9406392694063926,0.8879310344827587,1.0
PatchTST,subject_06,124,0.8951612903225806,0.9446808510638298,0.8951612903225806,1.0
TransformerCNN,subject_01,158,0.9177215189873418,0.9570957095709571,0.9177215189873418,1.0
TransformerCNN,subject_02,143,0.9090909090909091,0.9523809523809523,0.9090909090909091,1.0
TransformerCNN,subject_03,115,0.8869565217391304,0.9400921658986175,0.8869565217391304,1.0
TransformerCNN,subject_04,118,0.8898305084745762,0.9417040358744395,0.8898305084745762,1.0
TransformerCNN,subject_05,116,0.8879310344827587,0.9406392694063926,0.8879310344827587,1.0
TransformerCNN,subject_06,124,0.8951612903225806,0.9446808510638298,0.8951612903225806,1.0
