model,status,best_val_f1,best_trial_num,n_trials_completed,n_trials_pruned,n_trials_failed,best_lr,best_batch_size,best_dropout,best_weight_decay,best_focal_gamma,best_model_specific,e4_accuracy,e4_f1,e4_precision,e4_recall,e4_auroc,total_time_min
TimeMixerPP,OK,0.8888888839202279,9,15,0,0,0.009294290328028112,32,0.16766643375165488,5.834152927455556e-05,2.0,"{""d_model"": 256, ""n_blocks"": 4, ""k_periods"": 2, ""n_heads"": 2}",0.8992248062015504,0.9469387755102041,0.8992248062015504,1.0,0.5460414824638962,3.2267489013333335
Medformer,OK,0.8888888839202279,3,12,3,0,0.001328787714466569,64,0.16912577313547253,0.0007058078007726601,2.0,"{""d_model"": 256, ""n_heads"": 2, ""n_layers"": 4}",0.8992248062015504,0.9469387755102041,0.8992248062015504,1.0,0.5627210433244917,2.1092302888499943
TransformerCNN,OK,0.8888888839202279,11,13,2,0,0.007664269750800881,64,0.32166582284727374,0.0018821784210575321,2.0,"{""d_model"": 128, ""n_heads"": 2, ""n_layers"": 3, ""d_ff"": 128, ""n_conv_layers"": 1, ""cnn_kernel"": 7}",0.8992248062015504,0.9469387755102041,0.8992248062015504,1.0,0.40401193633952254,1.8916641664833151
PatchTST,OK,0.8888888839202279,6,14,1,0,0.006670949662929746,32,0.03441159045073994,0.0007720753184574517,2.0,"{""d_model"": 128, ""n_heads"": 4, ""n_layers"": 3, ""d_ff"": 128}",0.8992248062015504,0.9469387755102041,0.8992248062015504,1.0,0.5039787798408488,3.255402216449996
iTransformer,OK,0.8888888839202279,3,11,4,0,0.0015182972564392438,32,0.20890583522346828,0.0033434811637572818,2.0,"{""d_model"": 128, ""n_heads"": 2, ""n_layers"": 4, ""d_ff"": 128}",0.8979328165374677,0.9462219196732471,0.8990944372574385,0.9985632183908046,0.6134781167108753,5.2967058080500165
Chronos2,OK,0.8488160241269272,0,15,0,0,0.0005611516415334506,32,0.292797576724562,0.0071144760093434225,2.0,{},0.8875968992248062,0.9394572025052192,0.9109311740890689,0.9698275862068966,0.6340904067197171,5.164402245716701
CrossGNN,OK,0.8550458665387762,8,15,0,0,0.006525749313801476,64,0.2610328082943554,0.005438096726381481,2.0,"{""d_model"": 64, ""n_layers"": 3}",0.8152454780361758,0.8944649446494465,0.9195751138088012,0.8706896551724138,0.62995505452402,2.307193004249984
ModernTCN,OK,0.8523364435701982,13,15,0,0,0.00214924459306575,32,0.204710773200371,0.003431233112223159,2.0,"{""d_model"": 256, ""n_blocks"": 1}",0.7493540051679587,0.8489096573208723,0.9268707482993197,0.7830459770114943,0.6244750221043325,2.490276299966687
TimesNet,OK,0.8326848198710048,9,15,0,0,0.001348184038062732,128,0.3012897576105889,6.249169086603903e-05,2.0,"{""d_model"": 128, ""n_blocks"": 3, ""k_periods"": 4}",0.7364341085271318,0.8391167192429022,0.9300699300699301,0.764367816091954,0.640187518420277,8.080219793049976
TSLANet,OK,0.8919382454566049,6,13,2,0,0.007473109166163337,64,0.24003571785566022,4.560962325101608e-05,2.0,"{""d_model"": 256, ""n_blocks"": 4}",0.6692506459948321,0.79050736497545,0.9182509505703422,0.6939655172413793,0.5936671087533156,2.509942373566658
Mamba2,OK,0.8785714235655613,14,15,0,0,0.006931270972196831,64,0.016408152834781198,0.00042235790737654244,2.0,"{""d_model"": 32, ""d_state"": 32, ""n_layers"": 3}",0.38242894056847543,0.4849137931034483,0.9698275862068966,0.3232758620689655,0.5775401562039493,41.92311218983335
