model,subject,n_windows,accuracy,f1,precision,recall
TimeMixerPP,subject_01,158,0.9177215189873418,0.9570957095709571,0.9177215189873418,1.0
TimeMixerPP,subject_02,143,0.9090909090909091,0.9523809523809523,0.9090909090909091,1.0
TimeMixerPP,subject_03,115,0.8869565217391304,0.9400921658986175,0.8869565217391304,1.0
TimeMixerPP,subject_04,118,0.8898305084745762,0.9417040358744395,0.8898305084745762,1.0
TimeMixerPP,subject_05,116,0.8879310344827587,0.9406392694063926,0.8879310344827587,1.0
TimeMixerPP,subject_06,124,0.8951612903225806,0.9446808510638298,0.8951612903225806,1.0
Medformer,subject_01,158,0.9177215189873418,0.9570957095709571,0.9177215189873418,1.0
Medformer,subject_02,143,0.9090909090909091,0.9523809523809523,0.9090909090909091,1.0
Medformer,subject_03,115,0.8869565217391304,0.9400921658986175,0.8869565217391304,1.0
Medformer,subject_04,118,0.8898305084745762,0.9417040358744395,0.8898305084745762,1.0
Medformer,subject_05,116,0.8879310344827587,0.9406392694063926,0.8879310344827587,1.0
Medformer,subject_06,124,0.8951612903225806,0.9446808510638298,0.8951612903225806,1.0
PatchTST,subject_01,158,0.9177215189873418,0.9570957095709571,0.9177215189873418,1.0
PatchTST,subject_02,143,0.9090909090909091,0.9523809523809523,0.9090909090909091,1.0
PatchTST,subject_03,115,0.8869565217391304,0.9400921658986175,0.8869565217391304,1.0
PatchTST,subject_04,118,0.8898305084745762,0.9417040358744395,0.8898305084745762,1.0
PatchTST,subject_05,116,0.8879310344827587,0.9406392694063926,0.8879310344827587,1.0
PatchTST,subject_06,124,0.8951612903225806,0.9446808510638298,0.8951612903225806,1.0
