model,val_f1,trial_no,lr,wd,dropout,bs,d_model,n_blocks,k_periods,n_heads,e4_accuracy,e4_f1,e4_precision,e4_recall,e4_auroc,n_layers,d_state,d_ff,n_conv_layers,cnn_kernel
Mamba2,0.8993055505715905,8,0.0032130974278509502,0.003886761371261333,0.17239115226229662,64,32,,,,,,,,,2.0,32.0,,,
TimeMixerPP,0.8977469620887335,15,0.000273718311907921,5.0323035246704724e-05,0.05269047575554833,64,128,2.0,4.0,4.0,,,,,,,,,,
ModernTCN,0.8973912993623591,3,0.00011348084525743877,0.0006547566763465703,0.2799500039686389,32,256,2.0,,,,,,,,,,,,
TransformerCNN,0.896193766645634,6,0.0004647224436525815,0.0025733188092845072,0.03168182525566518,32,256,,,4.0,,,,,,4.0,,256.0,1.0,3.0
TimesNet,0.893542752428692,3,0.006871784835110335,0.0023387637644687593,0.09273902137180276,128,32,4.0,2.0,,,,,,,,,,,
PatchTST,0.8919382454566049,1,0.0004059611610484307,0.00037520558551242813,0.17277800745684632,64,256,,,2.0,,,,,,3.0,,256.0,,
Medformer,0.8904109539336649,3,0.00038306255229000175,0.006734814910932102,0.14817559610443462,32,128,,,8.0,,,,,,4.0,,,,
TSLANet,0.8904109539336649,4,0.0010514156647893176,0.0009186066145996931,0.12056156574538016,32,256,4.0,,,,,,,,,,,,
CrossGNN,0.8904109539336649,11,0.004214964322181723,9.061819749730862e-05,0.04981557705483772,128,128,,,,,,,,,2.0,,,,
iTransformer,0.8904109539336649,1,0.0004059611610484307,0.00037520558551242813,0.17277800745684632,64,256,,,2.0,,,,,,3.0,,256.0,,
