model,subject,n_windows,accuracy,f1,precision,recall
TimeMixerPP,subject_01,158,0.10759493670886076,0.053691275167785234,1.0,0.027586206896551724
TimeMixerPP,subject_02,143,0.14685314685314685,0.11594202898550725,1.0,0.06153846153846154
TimeMixerPP,subject_03,115,0.11304347826086956,0.0,0.0,0.0
TimeMixerPP,subject_04,118,0.1694915254237288,0.125,1.0,0.06666666666666667
TimeMixerPP,subject_05,116,0.11206896551724138,0.0,0.0,0.0
TimeMixerPP,subject_06,124,0.14516129032258066,0.08620689655172414,1.0,0.04504504504504504
Medformer,subject_01,158,0.810126582278481,0.8928571428571429,0.9259259259259259,0.8620689655172413
Medformer,subject_02,143,0.7762237762237763,0.872,0.9083333333333333,0.8384615384615385
Medformer,subject_03,115,0.8521739130434782,0.9186602870813397,0.897196261682243,0.9411764705882353
Medformer,subject_04,118,0.7372881355932204,0.845771144278607,0.8854166666666666,0.8095238095238095
Medformer,subject_05,116,0.7327586206896551,0.8426395939086294,0.8829787234042553,0.8058252427184466
Medformer,subject_06,124,0.7741935483870968,0.8679245283018868,0.9108910891089109,0.8288288288288288
TSLANet,subject_01,158,0.31645569620253167,0.4065934065934066,1.0,0.25517241379310346
TSLANet,subject_02,143,0.3146853146853147,0.4166666666666667,0.9210526315789473,0.2692307692307692
TSLANet,subject_03,115,0.1565217391304348,0.19834710743801653,0.631578947368421,0.11764705882352941
TSLANet,subject_04,118,0.2542372881355932,0.30158730158730157,0.9047619047619048,0.18095238095238095
TSLANet,subject_05,116,0.29310344827586204,0.3787878787878788,0.8620689655172413,0.24271844660194175
TSLANet,subject_06,124,0.31451612903225806,0.3795620437956204,1.0,0.23423423423423423
ModernTCN,subject_01,158,0.14556962025316456,0.12903225806451613,1.0,0.06896551724137931
ModernTCN,subject_02,143,0.16783216783216784,0.15602836879432624,1.0,0.08461538461538462
ModernTCN,subject_03,115,0.11304347826086956,0.0,0.0,0.0
ModernTCN,subject_04,118,0.1694915254237288,0.15517241379310345,0.8181818181818182,0.08571428571428572
ModernTCN,subject_05,116,0.11206896551724138,0.0,0.0,0.0
ModernTCN,subject_06,124,0.20967741935483872,0.20967741935483872,1.0,0.11711711711711711
CrossGNN,subject_01,158,0.44936708860759494,0.583732057416268,0.953125,0.4206896551724138
CrossGNN,subject_02,143,0.46853146853146854,0.6122448979591837,0.9090909090909091,0.46153846153846156
CrossGNN,subject_03,115,0.3565217391304348,0.5066666666666667,0.7916666666666666,0.37254901960784315
CrossGNN,subject_04,118,0.4915254237288136,0.6103896103896104,0.9591836734693877,0.44761904761904764
CrossGNN,subject_05,116,0.5689655172413793,0.7222222222222222,0.8441558441558441,0.6310679611650486
CrossGNN,subject_06,124,0.532258064516129,0.6463414634146342,1.0,0.4774774774774775
TimesNet,subject_01,158,0.14556962025316456,0.12903225806451613,1.0,0.06896551724137931
TimesNet,subject_02,143,0.17482517482517482,0.16901408450704225,1.0,0.09230769230769231
TimesNet,subject_03,115,0.11304347826086956,0.0,0.0,0.0
TimesNet,subject_04,118,0.17796610169491525,0.1565217391304348,0.9,0.08571428571428572
TimesNet,subject_05,116,0.11206896551724138,0.0,0.0,0.0
TimesNet,subject_06,124,0.1935483870967742,0.18032786885245902,1.0,0.0990990990990991
Mamba2,subject_01,158,0.13291139240506328,0.10457516339869281,1.0,0.05517241379310345
Mamba2,subject_02,143,0.13986013986013987,0.10218978102189781,1.0,0.05384615384615385
Mamba2,subject_03,115,0.11304347826086956,0.0,0.0,0.0
Mamba2,subject_04,118,0.16101694915254236,0.10810810810810811,1.0,0.05714285714285714
Mamba2,subject_05,116,0.11206896551724138,0.0,0.0,0.0
Mamba2,subject_06,124,0.1774193548387097,0.15,1.0,0.08108108108108109
iTransformer,subject_01,158,0.6329113924050633,0.7603305785123967,0.9484536082474226,0.6344827586206897
iTransformer,subject_02,143,0.6153846153846154,0.7555555555555555,0.8947368421052632,0.6538461538461539
iTransformer,subject_03,115,0.6521739130434783,0.7849462365591398,0.8690476190476191,0.7156862745098039
iTransformer,subject_04,118,0.6694915254237288,0.7845303867403315,0.9342105263157895,0.6761904761904762
iTransformer,subject_05,116,0.6637931034482759,0.7936507936507936,0.872093023255814,0.7281553398058253
iTransformer,subject_06,124,0.6693548387096774,0.7875647668393783,0.926829268292683,0.6846846846846847
PatchTST,subject_01,158,0.21518987341772153,0.25301204819277107,1.0,0.14482758620689656
PatchTST,subject_02,143,0.2727272727272727,0.34177215189873417,0.9642857142857143,0.2076923076923077
PatchTST,subject_03,115,0.1391304347826087,0.12389380530973451,0.6363636363636364,0.06862745098039216
PatchTST,subject_04,118,0.2457627118644068,0.2764227642276423,0.9444444444444444,0.1619047619047619
PatchTST,subject_05,116,0.2672413793103448,0.3089430894308943,0.95,0.18446601941747573
PatchTST,subject_06,124,0.22580645161290322,0.23809523809523808,1.0,0.13513513513513514
TransformerCNN,subject_01,158,0.08227848101265822,0.0,0.0,0.0
TransformerCNN,subject_02,143,0.09090909090909091,0.0,0.0,0.0
TransformerCNN,subject_03,115,0.11304347826086956,0.0,0.0,0.0
TransformerCNN,subject_04,118,0.11016949152542373,0.0,0.0,0.0
TransformerCNN,subject_05,116,0.11206896551724138,0.0,0.0,0.0
TransformerCNN,subject_06,124,0.10483870967741936,0.0,0.0,0.0
