model,subject,n_windows,accuracy,f1,precision,recall
Medformer,subject_01,158,0.810126582278481,0.8928571428571429,0.9259259259259259,0.8620689655172413
Medformer,subject_02,143,0.7762237762237763,0.872,0.9083333333333333,0.8384615384615385
Medformer,subject_03,115,0.8521739130434782,0.9186602870813397,0.897196261682243,0.9411764705882353
Medformer,subject_04,118,0.7372881355932204,0.845771144278607,0.8854166666666666,0.8095238095238095
Medformer,subject_05,116,0.7327586206896551,0.8426395939086294,0.8829787234042553,0.8058252427184466
Medformer,subject_06,124,0.7741935483870968,0.8679245283018868,0.9108910891089109,0.8288288288288288
iTransformer,subject_01,158,0.6329113924050633,0.7603305785123967,0.9484536082474226,0.6344827586206897
iTransformer,subject_02,143,0.6153846153846154,0.7555555555555555,0.8947368421052632,0.6538461538461539
iTransformer,subject_03,115,0.6521739130434783,0.7849462365591398,0.8690476190476191,0.7156862745098039
iTransformer,subject_04,118,0.6694915254237288,0.7845303867403315,0.9342105263157895,0.6761904761904762
iTransformer,subject_05,116,0.6637931034482759,0.7936507936507936,0.872093023255814,0.7281553398058253
iTransformer,subject_06,124,0.6693548387096774,0.7875647668393783,0.926829268292683,0.6846846846846847
CrossGNN,subject_01,158,0.44936708860759494,0.583732057416268,0.953125,0.4206896551724138
CrossGNN,subject_02,143,0.46853146853146854,0.6122448979591837,0.9090909090909091,0.46153846153846156
CrossGNN,subject_03,115,0.3565217391304348,0.5066666666666667,0.7916666666666666,0.37254901960784315
CrossGNN,subject_04,118,0.4915254237288136,0.6103896103896104,0.9591836734693877,0.44761904761904764
CrossGNN,subject_05,116,0.5689655172413793,0.7222222222222222,0.8441558441558441,0.6310679611650486
CrossGNN,subject_06,124,0.532258064516129,0.6463414634146342,1.0,0.4774774774774775
