model,val_f1,trial_no,lr,wd,dropout,bs,patience,d_model,n_blocks,k_periods,n_heads,e4_accuracy,e4_f1,e4_precision,e4_recall,e4_auroc,n_layers,d_state,d_ff,n_conv_layers,cnn_kernel
TransformerCNN,0.9094138493485483,0,0.0005611516415334506,0.0071144760093434225,0.292797576724562,32,52,64,,,4.0,0.8837209302325582,0.9367088607594937,0.9173553719008265,0.9568965517241379,0.6421216475095786,1.0,,512.0,2.0,7.0
TSLANet,0.9071803802970793,14,0.0005606991660912626,1.012850700245791e-05,0.1593633996340482,32,54,128,1.0,,,0.8798449612403101,0.9345531315974666,0.9158620689655173,0.9540229885057471,0.6837422634836429,,,,,
Mamba2,0.9071803802970793,9,0.00011280832583032712,5.137260975528717e-05,0.05808452623984363,32,100,128,,,,0.9147286821705426,0.9543568464730291,0.92,0.9913793103448276,0.7053860890067787,5.0,8.0,,,
PatchTST,0.9071803802970793,12,0.0010377781088847535,0.003883082422149258,0.19964271605070896,128,71,256,,,2.0,0.8940568475452196,0.9426573426573427,0.9182561307901907,0.9683908045977011,0.7103503536693193,1.0,,512.0,,
TimesNet,0.9051878304123451,9,0.008410379015147382,0.0002482319649405834,0.20568916926927555,64,70,128,3.0,2.0,,0.8682170542635659,0.9274537695590327,0.9183098591549296,0.9367816091954023,0.6766412466843501,,,,,
CrossGNN,0.9049295724686323,7,0.002145330581281103,0.005329183192660935,0.18927409277314144,32,63,32,,,,0.8953488372093024,0.942756183745583,0.9276773296244785,0.9583333333333334,0.6508896993810788,4.0,,,,
ModernTCN,0.9039145857430884,11,0.00030441539761120735,1.5874465951469842e-05,0.07270139705872788,32,61,128,1.0,,,0.8837209302325582,0.9363507779349364,0.9220055710306406,0.9511494252873564,0.6753149867374004,,,,,
TimeMixerPP,0.9005424904644401,3,0.0004436887522576522,0.0024750668315309016,0.3764520033235285,32,50,64,1.0,4.0,8.0,0.8462532299741602,0.9135802469135802,0.9236417033773862,0.9037356321839081,0.6657364426760979,,,,,
iTransformer,0.8993055505715905,0,0.0005611516415334506,0.0071144760093434225,0.292797576724562,32,52,64,,,4.0,0.8850129198966409,0.9373680506685432,0.9186206896551724,0.9568965517241379,0.6594827586206896,1.0,,512.0,,
Medformer,0.8965517191605232,2,0.0015304852121831463,1.3783237455007187e-05,0.24301794076057537,128,99,64,,,2.0,0.8901808785529716,0.9415807560137457,0.9025032938076416,0.9841954022988506,0.6305813439434129,2.0,,,,
