model,subject,n_windows,accuracy,f1,precision,recall
TimeMixerPP,subject_01,158,0.7721518987341772,0.8714285714285714,0.9037037037037037,0.8413793103448276
TimeMixerPP,subject_02,143,0.8251748251748252,0.9027237354085603,0.9133858267716536,0.8923076923076924
TimeMixerPP,subject_03,115,0.9391304347826087,0.964824120603015,0.9896907216494846,0.9411764705882353
TimeMixerPP,subject_04,118,0.8983050847457628,0.9433962264150944,0.9345794392523364,0.9523809523809523
TimeMixerPP,subject_05,116,0.9310344827586207,0.9626168224299065,0.9279279279279279,1.0
TimeMixerPP,subject_06,124,0.75,0.8558139534883721,0.8846153846153846,0.8288288288288288
Medformer,subject_01,158,0.8860759493670886,0.9395973154362416,0.9150326797385621,0.9655172413793104
Medformer,subject_02,143,0.9090909090909091,0.9523809523809523,0.9090909090909091,1.0
Medformer,subject_03,115,0.9043478260869565,0.9488372093023256,0.9026548672566371,1.0
Medformer,subject_04,118,0.8898305084745762,0.9417040358744395,0.8898305084745762,1.0
Medformer,subject_05,116,0.896551724137931,0.944954128440367,0.8956521739130435,1.0
Medformer,subject_06,124,0.8548387096774194,0.9210526315789473,0.8974358974358975,0.9459459459459459
TSLANet,subject_01,158,0.8544303797468354,0.9215017064846417,0.9121621621621622,0.9310344827586207
TSLANet,subject_02,143,0.8881118881118881,0.9398496240601504,0.9191176470588235,0.9615384615384616
TSLANet,subject_03,115,0.9565217391304348,0.9760765550239234,0.9532710280373832,1.0
TSLANet,subject_04,118,0.923728813559322,0.9577464788732394,0.9444444444444444,0.9714285714285714
TSLANet,subject_05,116,0.8362068965517241,0.9107981220657277,0.8818181818181818,0.941747572815534
TSLANet,subject_06,124,0.8306451612903226,0.9074889867841409,0.8879310344827587,0.9279279279279279
ModernTCN,subject_01,158,0.8481012658227848,0.9178082191780822,0.9115646258503401,0.9241379310344827
ModernTCN,subject_02,143,0.8811188811188811,0.9358490566037736,0.9185185185185185,0.9538461538461539
ModernTCN,subject_03,115,0.9739130434782609,0.9855072463768116,0.9714285714285714,1.0
ModernTCN,subject_04,118,0.9322033898305084,0.9626168224299065,0.944954128440367,0.9809523809523809
ModernTCN,subject_05,116,0.8793103448275862,0.9345794392523364,0.9009009009009009,0.970873786407767
ModernTCN,subject_06,124,0.8064516129032258,0.8918918918918919,0.8918918918918919,0.8918918918918919
CrossGNN,subject_01,158,0.8354430379746836,0.9097222222222222,0.916083916083916,0.903448275862069
CrossGNN,subject_02,143,0.8741258741258742,0.9323308270676691,0.9117647058823529,0.9538461538461539
CrossGNN,subject_03,115,0.9739130434782609,0.9852216748768473,0.9900990099009901,0.9803921568627451
CrossGNN,subject_04,118,0.940677966101695,0.967741935483871,0.9375,1.0
