model,status,best_val_f1,best_trial_num,n_trials_completed,n_trials_pruned,n_trials_failed,best_lr,best_batch_size,best_dropout,best_weight_decay,best_focal_gamma,best_model_specific,e4_accuracy,e4_f1,e4_precision,e4_recall,e4_auroc,total_time_min
Mamba2,OK,0.9071803802970793,9,15,0,0,0.00011280832583032712,32,0.05808452623984363,5.137260975528717e-05,2.0,"{""patience"": 100, ""d_model"": 128, ""d_state"": 8, ""n_layers"": 5}",0.9147286821705426,0.9543568464730291,0.92,0.9913793103448276,0.7053860890067787,88.8399334578
CrossGNN,OK,0.9049295724686323,7,15,0,0,0.002145330581281103,32,0.18927409277314144,0.005329183192660935,2.0,"{""patience"": 63, ""d_model"": 32, ""n_layers"": 4}",0.8953488372093024,0.942756183745583,0.9276773296244785,0.9583333333333334,0.6508896993810788,19.730250929283343
PatchTST,OK,0.9071803802970793,12,15,0,0,0.0010377781088847535,128,0.19964271605070896,0.003883082422149258,2.0,"{""patience"": 71, ""d_model"": 256, ""n_heads"": 2, ""n_layers"": 1, ""d_ff"": 512}",0.8940568475452196,0.9426573426573427,0.9182561307901907,0.9683908045977011,0.7103503536693193,19.1853760235667
Medformer,OK,0.8965517191605232,2,15,0,0,0.0015304852121831463,128,0.24301794076057537,1.3783237455007187e-05,2.0,"{""patience"": 99, ""d_model"": 64, ""n_heads"": 2, ""n_layers"": 2}",0.8901808785529716,0.9415807560137457,0.9025032938076416,0.9841954022988506,0.6305813439434129,16.086392009299985
iTransformer,OK,0.8993055505715905,0,15,0,0,0.0005611516415334506,32,0.292797576724562,0.0071144760093434225,2.0,"{""patience"": 52, ""d_model"": 64, ""n_heads"": 4, ""n_layers"": 1, ""d_ff"": 512}",0.8850129198966409,0.9373680506685432,0.9186206896551724,0.9568965517241379,0.6594827586206896,17.19311699656664
TransformerCNN,OK,0.9094138493485483,0,15,0,0,0.0005611516415334506,32,0.292797576724562,0.0071144760093434225,2.0,"{""patience"": 52, ""d_model"": 64, ""n_heads"": 4, ""n_layers"": 1, ""d_ff"": 512, ""n_conv_layers"": 2, ""cnn_kernel"": 7}",0.8837209302325582,0.9367088607594937,0.9173553719008265,0.9568965517241379,0.6421216475095786,19.574144590299998
ModernTCN,OK,0.9039145857430884,11,15,0,0,0.00030441539761120735,32,0.07270139705872788,1.5874465951469842e-05,2.0,"{""patience"": 61, ""d_model"": 128, ""n_blocks"": 1}",0.8837209302325582,0.9363507779349364,0.9220055710306406,0.9511494252873564,0.6753149867374004,14.616641766633316
TSLANet,OK,0.9071803802970793,14,15,0,0,0.0005606991660912626,32,0.1593633996340482,1.012850700245791e-05,2.0,"{""patience"": 54, ""d_model"": 128, ""n_blocks"": 1}",0.8798449612403101,0.9345531315974666,0.9158620689655173,0.9540229885057471,0.6837422634836429,18.832277804083365
TimesNet,OK,0.9051878304123451,9,15,0,0,0.008410379015147382,64,0.20568916926927555,0.0002482319649405834,2.0,"{""patience"": 70, ""d_model"": 128, ""n_blocks"": 3, ""k_periods"": 2}",0.8682170542635659,0.9274537695590327,0.9183098591549296,0.9367816091954023,0.6766412466843501,43.58391271104998
TimeMixerPP,OK,0.9005424904644401,3,15,0,0,0.0004436887522576522,32,0.3764520033235285,0.0024750668315309016,2.0,"{""patience"": 50, ""d_model"": 64, ""n_blocks"": 1, ""k_periods"": 4, ""n_heads"": 8}",0.8462532299741602,0.9135802469135802,0.9236417033773862,0.9037356321839081,0.6657364426760979,49.885190310066655
