model,val_f1,trial_no,lr,wd,dropout,bs,d_model,n_blocks,k_periods,n_heads,e4_accuracy,e4_f1,e4_precision,e4_recall,e4_auroc,n_layers,d_state,d_ff,n_conv_layers,cnn_kernel
TransformerCNN,0.8904109539336649,9,0.008946367178809811,0.0003793274496047099,0.2500643346968872,128,64.0,,,4.0,0.8811369509043928,0.936726272352132,0.8984168865435356,0.978448275862069,0.6504660330091363,2.0,,512.0,1.0,5.0
PatchTST,0.889279432615664,3,0.0012239438471271877,0.0008147548650355288,0.13026605177250067,64,256.0,,,2.0,0.8462532299741602,0.9140794223826715,0.918722786647315,0.9094827586206896,0.61394783377542,4.0,,256.0,,
TimeMixerPP,0.8888888839202279,11,0.002939044556890989,0.0008776152139233176,0.39565282898746534,64,256.0,4.0,5.0,2.0,0.8992248062015504,0.9469387755102041,0.8992248062015504,1.0,0.5595159151193634,,,,,
iTransformer,0.8888888839202279,4,0.0035192171489538526,0.0004444592903094868,0.028089278555831723,64,256.0,,,2.0,0.8992248062015504,0.9469387755102041,0.8992248062015504,1.0,0.6057784409077513,3.0,,256.0,,
Chronos2,0.880434777593599,10,0.0004991064427384865,0.0004095864727859966,0.10650351257756467,128,,,,,0.838501291989664,0.9080206033848418,0.9306184012066365,0.8864942528735632,0.7020612290008841,,,,,
Medformer,0.872531413303121,5,0.00022402979695308525,0.005454173291230166,0.3189691697479252,64,256.0,,,2.0,0.8320413436692506,0.9056603773584906,0.9149560117302052,0.896551724137931,0.6724966843501327,4.0,,,,
ModernTCN,0.8638838425343791,4,0.006868392642993724,0.0004156863159696907,0.3835897146352266,32,128.0,4.0,,,0.8475452196382429,0.9147398843930635,0.9200581395348837,0.9094827586206896,0.6394322870615974,,,,,
Mamba2,0.8464566878828508,3,0.00038306255229000175,0.006734814910932102,0.14817559610443462,32,64.0,,,,0.7596899224806202,0.8549141965678627,0.9351535836177475,0.7873563218390804,0.6556881815502504,5.0,32.0,,,
TSLANet,0.8409090858783862,11,0.000334519274456928,0.0009173722250503788,0.38316195304220474,32,256.0,5.0,,,0.8074935400516796,0.8892193308550186,0.9214175654853621,0.8591954022988506,0.6209383289124668,,,,,
TimesNet,0.8400770662585899,14,0.0003002881726217982,0.00012280685262942392,0.01912255333906578,128,128.0,2.0,2.0,,0.7919896640826873,0.8792198049512379,0.9199372056514914,0.8419540229885057,0.6287301061007957,,,,,
CrossGNN,0.8362235017115321,9,0.006934853051161474,0.0002113631603808507,0.06260785462750115,32,32.0,,,,0.8010335917312662,0.8847305389221557,0.9234375,0.8491379310344828,0.617797671676982,4.0,,,,
