model,subject,n_windows,accuracy,f1,precision,recall
TimeMixerPP,subject_01,158,0.9177215189873418,0.9570957095709571,0.9177215189873418,1.0
TimeMixerPP,subject_02,143,0.9090909090909091,0.9523809523809523,0.9090909090909091,1.0
TimeMixerPP,subject_03,115,0.8869565217391304,0.9400921658986175,0.8869565217391304,1.0
TimeMixerPP,subject_04,118,0.8898305084745762,0.9417040358744395,0.8898305084745762,1.0
TimeMixerPP,subject_05,116,0.8879310344827587,0.9406392694063926,0.8879310344827587,1.0
TimeMixerPP,subject_06,124,0.8951612903225806,0.9446808510638298,0.8951612903225806,1.0
Medformer,subject_01,158,0.7848101265822784,0.8794326241134752,0.9051094890510949,0.8551724137931035
Medformer,subject_02,143,0.8041958041958042,0.8914728682170543,0.8984375,0.8846153846153846
Medformer,subject_03,115,0.9391304347826087,0.9644670050761421,1.0,0.9313725490196079
Medformer,subject_04,118,0.9152542372881356,0.9545454545454546,0.9130434782608695,1.0
Medformer,subject_05,116,0.9224137931034483,0.958139534883721,0.9196428571428571,1.0
Medformer,subject_06,124,0.6612903225806451,0.7961165048543689,0.8631578947368421,0.7387387387387387
TSLANet,subject_01,158,0.7531645569620253,0.8592057761732852,0.9015151515151515,0.8206896551724138
TSLANet,subject_02,143,0.7692307692307693,0.8695652173913043,0.8943089430894309,0.8461538461538461
TSLANet,subject_03,115,0.9130434782608695,0.9484536082474226,1.0,0.9019607843137255
TSLANet,subject_04,118,0.7966101694915254,0.8823529411764706,0.9090909090909091,0.8571428571428571
TSLANet,subject_05,116,0.9741379310344828,0.9856459330143541,0.9716981132075472,1.0
TSLANet,subject_06,124,0.6774193548387096,0.8076923076923077,0.865979381443299,0.7567567567567568
ModernTCN,subject_01,158,0.8037974683544303,0.8912280701754386,0.9071428571428571,0.8758620689655172
ModernTCN,subject_02,143,0.8251748251748252,0.9042145593869731,0.9007633587786259,0.9076923076923077
ModernTCN,subject_03,115,0.9391304347826087,0.9644670050761421,1.0,0.9313725490196079
ModernTCN,subject_04,118,0.8983050847457628,0.944954128440367,0.911504424778761,0.9809523809523809
ModernTCN,subject_05,116,0.9482758620689655,0.9716981132075472,0.944954128440367,1.0
ModernTCN,subject_06,124,0.7016129032258065,0.8246445497630331,0.87,0.7837837837837838
CrossGNN,subject_01,158,0.740506329113924,0.850909090909091,0.9,0.8068965517241379
CrossGNN,subject_02,143,0.7622377622377622,0.8650793650793651,0.8934426229508197,0.8384615384615385
CrossGNN,subject_03,115,0.9130434782608695,0.9484536082474226,1.0,0.9019607843137255
CrossGNN,subject_04,118,0.788135593220339,0.8743718592964824,0.925531914893617,0.8285714285714286
CrossGNN,subject_05,116,0.9741379310344828,0.9856459330143541,0.9716981132075472,1.0
CrossGNN,subject_06,124,0.6693548387096774,0.8019323671497585,0.8645833333333334,0.7477477477477478
TimesNet,subject_01,158,0.7658227848101266,0.8673835125448028,0.9029850746268657,0.8344827586206897
TimesNet,subject_02,143,0.7622377622377622,0.8650793650793651,0.8934426229508197,0.8384615384615385
TimesNet,subject_03,115,0.8956521739130435,0.9375,1.0,0.8823529411764706
TimesNet,subject_04,118,0.7796610169491526,0.8686868686868687,0.9247311827956989,0.819047619047619
TimesNet,subject_05,116,0.9224137931034483,0.9565217391304348,0.9519230769230769,0.9611650485436893
TimesNet,subject_06,124,0.6532258064516129,0.7902439024390244,0.8617021276595744,0.7297297297297297
Mamba2,subject_01,158,0.6835443037974683,0.8106060606060606,0.8991596638655462,0.7379310344827587
Mamba2,subject_02,143,0.6783216783216783,0.8067226890756303,0.8888888888888888,0.7384615384615385
Mamba2,subject_03,115,0.8956521739130435,0.9375,1.0,0.8823529411764706
Mamba2,subject_04,118,0.8305084745762712,0.8969072164948454,0.9775280898876404,0.8285714285714286
Mamba2,subject_05,116,0.9396551724137931,0.964824120603015,1.0,0.9320388349514563
Mamba2,subject_06,124,0.5887096774193549,0.7384615384615385,0.8571428571428571,0.6486486486486487
iTransformer,subject_01,158,0.9177215189873418,0.9570957095709571,0.9177215189873418,1.0
iTransformer,subject_02,143,0.9090909090909091,0.9523809523809523,0.9090909090909091,1.0
iTransformer,subject_03,115,0.8869565217391304,0.9400921658986175,0.8869565217391304,1.0
iTransformer,subject_04,118,0.8898305084745762,0.9417040358744395,0.8898305084745762,1.0
iTransformer,subject_05,116,0.8879310344827587,0.9406392694063926,0.8879310344827587,1.0
