model,status,best_val_f1,best_trial_num,n_trials_completed,n_trials_pruned,n_trials_failed,best_lr,best_batch_size,best_dropout,best_weight_decay,best_focal_gamma,best_model_specific,e4_accuracy,e4_f1,e4_precision,e4_recall,e4_auroc,total_time_min
TimeMixerPP,OK,0.8888888839202279,11,15,0,0,0.002939044556890989,64,0.39565282898746534,0.0008776152139233176,2.0,"{""d_model"": 256, ""n_blocks"": 4, ""k_periods"": 5, ""n_heads"": 2}",0.8992248062015504,0.9469387755102041,0.8992248062015504,1.0,0.5595251252578839,5.860266597066659
iTransformer,OK,0.8888888839202279,4,14,1,0,0.0035192171489538526,64,0.028089278555831723,0.0004444592903094868,2.0,"{""d_model"": 256, ""n_heads"": 2, ""n_layers"": 3, ""d_ff"": 256}",0.8992248062015504,0.9469387755102041,0.8992248062015504,1.0,0.6057784409077513,1.747305404183347
TransformerCNN,OK,0.8904109539336649,9,15,0,0,0.008946367178809811,128,0.2500643346968872,0.0003793274496047099,2.0,"{""d_model"": 64, ""n_heads"": 4, ""n_layers"": 2, ""d_ff"": 512, ""n_conv_layers"": 1, ""cnn_kernel"": 5}",0.8811369509043928,0.936726272352132,0.8984168865435356,0.978448275862069,0.6504660330091363,1.2411266362666538
ModernTCN,OK,0.8638838425343791,4,14,1,0,0.006868392642993724,32,0.3835897146352266,0.0004156863159696907,2.0,"{""d_model"": 128, ""n_blocks"": 4}",0.8475452196382429,0.9147398843930635,0.9200581395348837,0.9094827586206896,0.6394322870615974,1.212725807233331
PatchTST,OK,0.889279432615664,3,12,3,0,0.0012239438471271877,64,0.13026605177250067,0.0008147548650355288,2.0,"{""d_model"": 256, ""n_heads"": 2, ""n_layers"": 4, ""d_ff"": 256}",0.8462532299741602,0.9140794223826715,0.918722786647315,0.9094827586206896,0.61394783377542,1.5570407292333281
Medformer,OK,0.872531413303121,5,12,3,0,0.00022402979695308525,64,0.3189691697479252,0.005454173291230166,2.0,"{""d_model"": 256, ""n_heads"": 2, ""n_layers"": 4}",0.8320413436692506,0.9056603773584906,0.9149560117302052,0.896551724137931,0.6725335249042146,2.6229438261333295
TSLANet,OK,0.8409090858783862,11,14,1,0,0.000334519274456928,32,0.38316195304220474,0.0009173722250503788,2.0,"{""d_model"": 256, ""n_blocks"": 5}",0.8074935400516796,0.8892193308550186,0.9214175654853621,0.8591954022988506,0.6209383289124668,1.688443899766662
CrossGNN,OK,0.8362235017115321,9,15,0,0,0.006934853051161474,32,0.06260785462750115,0.0002113631603808507,2.0,"{""d_model"": 32, ""n_layers"": 4}",0.8010335917312662,0.8847305389221557,0.9234375,0.8491379310344828,0.617797671676982,1.4548059494166712
TimesNet,OK,0.8400770662585899,14,15,0,0,0.0003002881726217982,128,0.01912255333906578,0.00012280685262942392,2.0,"{""d_model"": 128, ""n_blocks"": 2, ""k_periods"": 2}",0.7919896640826873,0.8792198049512379,0.9199372056514914,0.8419540229885057,0.6287485263778367,1.2932635539499946
Mamba2,OK,0.8464566878828508,3,10,5,0,0.00038306255229000175,32,0.14817559610443462,0.006734814910932102,2.0,"{""d_model"": 64, ""d_state"": 32, ""n_layers"": 5}",0.7596899224806202,0.8549141965678627,0.9351535836177475,0.7873563218390804,0.6556881815502504,11.725270117966678
