model,subject,n_windows,accuracy,f1,precision,recall
TimeMixerPP,subject_01,158,0.9177215189873418,0.9570957095709571,0.9177215189873418,1.0
TimeMixerPP,subject_02,143,0.9090909090909091,0.9523809523809523,0.9090909090909091,1.0
TimeMixerPP,subject_03,115,0.8869565217391304,0.9400921658986175,0.8869565217391304,1.0
TimeMixerPP,subject_04,118,0.8898305084745762,0.9417040358744395,0.8898305084745762,1.0
TimeMixerPP,subject_05,116,0.8879310344827587,0.9406392694063926,0.8879310344827587,1.0
TimeMixerPP,subject_06,124,0.8951612903225806,0.9446808510638298,0.8951612903225806,1.0
iTransformer,subject_01,158,0.9177215189873418,0.9570957095709571,0.9177215189873418,1.0
iTransformer,subject_02,143,0.9090909090909091,0.9523809523809523,0.9090909090909091,1.0
iTransformer,subject_03,115,0.8869565217391304,0.9400921658986175,0.8869565217391304,1.0
iTransformer,subject_04,118,0.8898305084745762,0.9417040358744395,0.8898305084745762,1.0
iTransformer,subject_05,116,0.8879310344827587,0.9406392694063926,0.8879310344827587,1.0
iTransformer,subject_06,124,0.8951612903225806,0.9446808510638298,0.8951612903225806,1.0
TransformerCNN,subject_01,158,0.9050632911392406,0.9501661129568106,0.9166666666666666,0.9862068965517241
TransformerCNN,subject_02,143,0.8951048951048951,0.9446494464944649,0.9078014184397163,0.9846153846153847
TransformerCNN,subject_03,115,0.8782608695652174,0.9351851851851852,0.8859649122807017,0.9901960784313726
TransformerCNN,subject_04,118,0.864406779661017,0.9272727272727272,0.8869565217391304,0.9714285714285714
TransformerCNN,subject_05,116,0.8620689655172413,0.9259259259259259,0.8849557522123894,0.970873786407767
TransformerCNN,subject_06,124,0.8709677419354839,0.9304347826086956,0.8991596638655462,0.963963963963964
