model,val_f1,trial_no,lr,wd,dropout,bs,d_model,n_blocks,k_periods,n_heads,e4_accuracy,e4_f1,e4_precision,e4_recall,e4_auroc,n_layers,d_state,d_ff
Medformer,0.9719626117900254,4,0.0011733229365206463,0.00019170413825291186,0.2917777964292002,128,128.0,,,8.0,,,,,,4.0,,
TransformerCNN,0.9719626117900254,11,0.0002699224480151081,0.00010535296056023128,0.3858776694389272,32,,,,,0.8461538461538461,0.9153737658674189,0.9064245810055865,0.9245014245014245,0.47108079479874354,,,
iTransformer,0.9717514073949236,14,0.0007706071550730943,0.00020116067001600807,0.2765268058294189,64,256.0,,,8.0,,,,,,2.0,,512.0
TSLANet,0.9701492486995991,11,0.008286663314805029,0.0011003119255644485,0.21755247793436053,32,128.0,2.0,,,,,,,,,,
PatchTST,0.9699248069961559,3,0.0015182972564392438,0.0033434811637572818,0.20890583522346828,32,128.0,,,2.0,,,,,,4.0,,128.0
CrossGNN,0.9662921297987066,9,0.009052285809989584,3.583731657274136e-05,0.08228747493938773,32,32.0,,,,,,,,,4.0,,
TimesNet,0.9624060100039573,6,0.0053683597625681385,0.005497488115007803,0.22101971847314403,128,32.0,1.0,3.0,,,,,,,,,
TimeMixerPP,0.9576427205722251,7,0.004316841456972726,0.0010890501702891843,0.3568144937642914,32,128.0,2.0,3.0,2.0,,,,,,,,
ModernTCN,0.9521988477362181,4,0.0010514156647893176,0.0009186066145996931,0.12056156574538016,32,256.0,4.0,,,,,,,,,,
Mamba2,0.9418386441233557,13,0.00011557516896631509,1.9497345831872752e-05,0.0824838508053504,128,32.0,,,,,,,,,4.0,32.0,
Chronos2,0.9357798114899418,0,0.0005611516415334506,0.0071144760093434225,0.292797576724562,32,,,,,,,,,,,,
