model,subject,n_windows,accuracy,f1,precision,recall
TimeMixerPP,subject_01,159,0.8176100628930818,0.8996539792387543,0.9090909090909091,0.8904109589041096
TimeMixerPP,subject_02,144,0.9097222222222222,0.9527272727272728,0.9097222222222222,1.0
TimeMixerPP,subject_03,116,0.7931034482758621,0.8846153846153846,0.8761904761904762,0.8932038834951457
TimeMixerPP,subject_04,119,0.8823529411764706,0.9375,0.8898305084745762,0.9905660377358491
TimeMixerPP,subject_05,117,0.8547008547008547,0.9216589861751152,0.8849557522123894,0.9615384615384616
TimeMixerPP,subject_06,125,0.84,0.9019607843137255,1.0,0.8214285714285714
Medformer,subject_01,159,0.7924528301886793,0.8842105263157894,0.9064748201438849,0.863013698630137
Medformer,subject_02,144,0.9166666666666666,0.9562043795620438,0.916083916083916,1.0
Medformer,subject_03,116,0.896551724137931,0.944954128440367,0.8956521739130435,1.0
Medformer,subject_04,119,0.8991596638655462,0.9464285714285714,0.8983050847457628,1.0
Medformer,subject_05,117,0.8376068376068376,0.9116279069767442,0.8828828828828829,0.9423076923076923
Medformer,subject_06,125,0.848,0.9073170731707317,1.0,0.8303571428571429
TSLANet,subject_01,159,0.8176100628930818,0.8996539792387543,0.9090909090909091,0.8904109589041096
TSLANet,subject_02,144,0.9097222222222222,0.9527272727272728,0.9097222222222222,1.0
TSLANet,subject_03,116,0.7931034482758621,0.8846153846153846,0.8761904761904762,0.8932038834951457
TSLANet,subject_04,119,0.8907563025210085,0.9422222222222222,0.8907563025210085,1.0
TSLANet,subject_05,117,0.8461538461538461,0.9166666666666666,0.8839285714285714,0.9519230769230769
TSLANet,subject_06,125,0.84,0.9019607843137255,1.0,0.8214285714285714
ModernTCN,subject_01,159,0.8113207547169812,0.8958333333333334,0.9084507042253521,0.8835616438356164
ModernTCN,subject_02,144,0.9097222222222222,0.9527272727272728,0.9097222222222222,1.0
ModernTCN,subject_03,116,0.8362068965517241,0.9107981220657277,0.8818181818181818,0.941747572815534
ModernTCN,subject_04,119,0.8907563025210085,0.9422222222222222,0.8907563025210085,1.0
ModernTCN,subject_05,117,0.8461538461538461,0.9134615384615384,0.9134615384615384,0.9134615384615384
ModernTCN,subject_06,125,0.832,0.8975609756097561,0.989247311827957,0.8214285714285714
CrossGNN,subject_01,159,0.7987421383647799,0.8881118881118881,0.9071428571428571,0.8698630136986302
CrossGNN,subject_02,144,0.9097222222222222,0.9527272727272728,0.9097222222222222,1.0
CrossGNN,subject_03,116,0.8362068965517241,0.9107981220657277,0.8818181818181818,0.941747572815534
CrossGNN,subject_04,119,0.8907563025210085,0.9422222222222222,0.8907563025210085,1.0
CrossGNN,subject_05,117,0.8547008547008547,0.9216589861751152,0.8849557522123894,0.9615384615384616
CrossGNN,subject_06,125,0.856,0.912621359223301,1.0,0.8392857142857143
