model,status,best_val_f1,best_trial_num,n_trials_completed,n_trials_pruned,n_trials_failed,best_lr,best_batch_size,best_dropout,best_weight_decay,best_focal_gamma,best_model_specific,e4_accuracy,e4_f1,e4_precision,e4_recall,e4_auroc,total_time_min
Mamba2,OK,0.9418386441233557,13,14,1,0,0.00011557516896631509,128,0.0824838508053504,1.9497345831872752e-05,2.0,"{""d_model"": 32, ""d_state"": 32, ""n_layers"": 4}",0.8653846153846154,0.9265220433869839,0.9105914718019257,0.9430199430199431,0.5728504638761049,10.414674552133269
Medformer,OK,0.9719626117900254,4,12,3,0,0.0011733229365206463,128,0.2917777964292002,0.00019170413825291186,2.0,"{""d_model"": 128, ""n_heads"": 8, ""n_layers"": 4}",0.8628205128205129,0.9247009148486981,0.913769123783032,0.9358974358974359,0.4528727445394112,2.3220310793170937
CrossGNN,OK,0.9662921297987066,9,13,2,0,0.009052285809989584,32,0.08228747493938773,3.583731657274136e-05,2.0,"{""d_model"": 32, ""n_layers"": 4}",0.8564102564102564,0.9212376933895922,0.9097222222222222,0.9330484330484331,0.609723135364161,1.0456694020171804
ModernTCN,OK,0.9521988477362181,4,13,2,0,0.0010514156647893176,32,0.12056156574538016,0.0009186066145996931,2.0,"{""d_model"": 256, ""n_blocks"": 4}",0.8538461538461538,0.9193776520509194,0.9129213483146067,0.9259259259259259,0.41342501278398713,1.8667755389159235
TimeMixerPP,OK,0.9576427205722251,7,10,5,0,0.004316841456972726,32,0.3568144937642914,0.0010890501702891843,2.0,"{""d_model"": 128, ""n_blocks"": 2, ""k_periods"": 3, ""n_heads"": 2}",0.85,0.9174311926605505,0.9090909090909091,0.9259259259259259,0.6373456790123457,5.997886736833607
TSLANet,OK,0.9701492486995991,11,12,3,0,0.008286663314805029,32,0.21755247793436053,0.0011003119255644485,2.0,"{""d_model"": 128, ""n_blocks"": 2}",0.85,0.9174311926605505,0.9090909090909091,0.9259259259259259,0.42149718752282855,1.5463736754832402
iTransformer,OK,0.9717514073949236,14,8,7,0,0.0007706071550730943,64,0.2765268058294189,0.00020116067001600807,2.0,"{""d_model"": 256, ""n_heads"": 8, ""n_layers"": 2, ""d_ff"": 512}",0.8307692307692308,0.9069111424541608,0.8980446927374302,0.915954415954416,0.42759697567389876,1.5906533205328741
TimesNet,OK,0.9624060100039573,6,11,4,0,0.0053683597625681385,128,0.22101971847314403,0.005497488115007803,2.0,"{""d_model"": 32, ""n_blocks"": 1, ""k_periods"": 3}",0.8179487179487179,0.8979885057471264,0.9057971014492754,0.8903133903133903,0.5649883117831835,1.5149183516507037
PatchTST,OK,0.9699248069961559,3,8,7,0,0.0015182972564392438,32,0.20890583522346828,0.0033434811637572818,2.0,"{""d_model"": 128, ""n_heads"": 2, ""n_layers"": 4, ""d_ff"": 128}",0.8153846153846154,0.8964028776978418,0.9055232558139535,0.8874643874643875,0.4065399225655636,1.4901464789999106
Chronos2,OK,0.9357798114899418,0,13,2,0,0.0005611516415334506,32,0.292797576724562,0.0071144760093434225,2.0,{},0.7051282051282052,0.8183254344391785,0.9184397163120568,0.7378917378917379,0.651271093578786,4.3850066318002066
