model,subject,n_windows,accuracy,f1,precision,recall
Mamba2,subject_01,159,0.8050314465408805,0.89198606271777,0.9078014184397163,0.8767123287671232
Mamba2,subject_02,144,0.9097222222222222,0.9527272727272728,0.9097222222222222,1.0
Mamba2,subject_03,116,0.8620689655172413,0.9259259259259259,0.8849557522123894,0.970873786407767
Mamba2,subject_04,119,0.8907563025210085,0.9422222222222222,0.8907563025210085,1.0
Mamba2,subject_05,117,0.8717948717948718,0.9315068493150684,0.8869565217391304,0.9807692307692307
Mamba2,subject_06,125,0.864,0.9178743961352657,1.0,0.8482142857142857
Medformer,subject_01,159,0.7924528301886793,0.8842105263157894,0.9064748201438849,0.863013698630137
Medformer,subject_02,144,0.9166666666666666,0.9562043795620438,0.916083916083916,1.0
Medformer,subject_03,116,0.896551724137931,0.944954128440367,0.8956521739130435,1.0
Medformer,subject_04,119,0.8991596638655462,0.9464285714285714,0.8983050847457628,1.0
Medformer,subject_05,117,0.8376068376068376,0.9116279069767442,0.8828828828828829,0.9423076923076923
Medformer,subject_06,125,0.848,0.9073170731707317,1.0,0.8303571428571429
CrossGNN,subject_01,159,0.7987421383647799,0.8881118881118881,0.9071428571428571,0.8698630136986302
CrossGNN,subject_02,144,0.9097222222222222,0.9527272727272728,0.9097222222222222,1.0
CrossGNN,subject_03,116,0.8362068965517241,0.9107981220657277,0.8818181818181818,0.941747572815534
CrossGNN,subject_04,119,0.8907563025210085,0.9422222222222222,0.8907563025210085,1.0
CrossGNN,subject_05,117,0.8547008547008547,0.9216589861751152,0.8849557522123894,0.9615384615384616
CrossGNN,subject_06,125,0.856,0.912621359223301,1.0,0.8392857142857143
