R,G,B,label
72,87,95,Blue
72,87,95,Blue
63,90,101,Blue
62,90,101,Blue
64,90,100,Blue
62,90,102,Blue
61,89,103,Blue
70,84,100,Blue
66,86,102,Blue
68,85,101,Blue
64,87,103,Blue
66,86,102,Blue
75,82,97,Blue
65,86,102,Blue
66,89,99,Blue
67,89,98,Blue
61,89,103,Blue
62,89,103,Blue
61,89,103,Blue
61,89,104,Blue
81,84,88,Blue
81,84,88,Blue
75,85,93,Blue
73,86,94,Blue
74,85,95,Blue
71,87,95,Blue
73,86,95,Blue
73,86,95,Blue
73,86,94,Blue
74,86,94,Blue
77,85,92,Blue
73,86,94,Blue
73,86,94,Blue
73,86,94,Blue
73,86,94,Blue
74,86,94,Blue
74,85,94,Blue
74,86,94,Blue
74,86,94,Blue
74,86,94,Blue
62,90,102,Blue
62,90,102,Blue
61,89,103,Blue
66,88,99,Blue
61,90,103,Blue
64,89,100,Blue
64,89,101,Blue
64,89,100,Blue
63,89,101,Blue
68,88,98,Blue
89,103,61,Green
76,114,64,Green
76,113,64,Green
77,112,64,Green
77,112,64,Green
76,113,64,Green
77,113,63,Green
80,111,62,Green
79,112,63,Green
81,111,62,Green
91,103,59,Green
91,103,59,Green
91,103,59,Green
91,103,59,Green
91,103,59,Green
91,103,59,Green
93,102,59,Green
93,102,59,Green
93,102,59,Green
93,102,59,Green
95,100,58,Green
96,100,58,Green
96,100,58,Green
92,102,59,Green
93,102,59,Green
94,101,59,Green
93,102,59,Green
93,102,59,Green
92,102,59,Green
90,104,60,Green
76,113,64,Green
76,113,64,Green
100,93,61,Green
81,111,61,Green
83,110,60,Green
84,109,60,Green
84,109,60,Green
85,109,60,Green
85,108,60,Green
85,108,60,Green
95,100,58,Green
95,100,58,Green
96,100,58,Green
95,101,58,Green
93,102,59,Green
93,102,59,Green
93,102,59,Green
89,105,60,Green
86,107,60,Green
86,107,60,Green
131,73,50,Orange
129,74,50,Orange
182,36,35,Orange
183,36,35,Orange
153,64,36,Orange
153,64,36,Orange
131,77,46,Orange
128,78,48,Orange
128,76,50,Orange
127,78,49,Orange
155,63,36,Orange
155,63,36,Orange
155,63,36,Orange
155,63,36,Orange
155,63,36,Orange
155,63,36,Orange
155,63,36,Orange
155,63,36,Orange
155,63,36,Orange
155,63,36,Orange
157,62,35,Orange
156,63,35,Orange
156,63,35,Orange
156,63,35,Orange
156,62,35,Orange
156,62,35,Orange
156,62,36,Orange
155,62,36,Orange
156,62,36,Orange
155,62,36,Orange
155,63,36,Orange
157,62,35,Orange
157,62,35,Orange
157,62,35,Orange
157,62,35,Orange
155,64,34,Orange
155,64,34,Orange
156,63,34,Orange
156,62,35,Orange
156,62,35,Orange
156,62,35,Orange
157,62,35,Orange
157,61,35,Orange
154,62,37,Orange
154,62,37,Orange
155,62,36,Orange
155,62,36,Orange
156,62,36,Orange
156,62,36,Orange
145,69,39,Orange
125,62,66,Purple
118,68,68,Purple
120,67,66,Purple
122,67,65,Purple
124,65,64,Purple
127,64,63,Purple
128,63,62,Purple
130,63,61,Purple
128,63,62,Purple
128,63,62,Purple
130,63,61,Purple
128,64,62,Purple
122,66,65,Purple
124,65,64,Purple
126,64,63,Purple
126,64,63,Purple
123,66,65,Purple
117,68,68,Purple
149,50,55,Purple
133,57,63,Purple
127,64,63,Purple
127,64,63,Purple
127,64,62,Purple
129,63,62,Purple
129,63,62,Purple
129,63,62,Purple
129,63,62,Purple
130,63,61,Purple
129,63,61,Purple
131,62,60,Purple
131,62,60,Purple
131,62,60,Purple
131,62,60,Purple
131,62,60,Purple
131,62,60,Purple
131,62,60,Purple
131,62,60,Purple
131,62,61,Purple
130,62,61,Purple
132,62,59,Purple
129,63,62,Purple
130,62,61,Purple
130,63,61,Purple
130,63,61,Purple
129,63,61,Purple
129,63,61,Purple
129,63,61,Purple
129,63,62,Purple
129,63,61,Purple
131,62,60,Purple
186,32,36,Red
186,32,36,Red
185,33,36,Red
185,33,36,Red
166,49,38,Red
155,52,46,Red
158,50,46,Red
158,50,46,Red
185,33,36,Red
185,33,36,Red
185,33,36,Red
183,34,36,Red
169,49,35,Red
169,49,36,Red
169,49,36,Red
170,48,35,Red
171,48,35,Red
171,47,35,Red
170,48,35,Red
170,48,35,Red
173,46,35,Red
173,46,34,Red
173,46,35,Red
172,46,35,Red
172,46,35,Red
172,46,35,Red
172,47,35,Red
172,47,35,Red
172,47,35,Red
172,47,35,Red
171,47,35,Red
171,47,35,Red
171,47,35,Red
171,47,35,Red
171,47,35,Red
172,47,35,Red
171,47,35,Red
172,47,35,Red
167,50,37,Red
166,50,37,Red
165,51,38,Red
157,54,42,Red
154,55,44,Red
154,55,44,Red
154,55,44,Red
154,55,44,Red
155,55,44,Red
