R,G,B,label
72,87,95,Blue
72,87,95,Blue
63,90,101,Blue
62,90,101,Blue
64,90,100,Blue
62,90,102,Blue
61,89,103,Blue
70,84,100,Blue
66,86,102,Blue
68,85,101,Blue
64,87,103,Blue
66,86,102,Blue
75,82,97,Blue
65,86,102,Blue
66,89,99,Blue
67,89,98,Blue
61,89,103,Blue
62,89,103,Blue
61,89,103,Blue
61,89,104,Blue
81,84,88,Blue
81,84,88,Blue
75,85,93,Blue
73,86,94,Blue
74,85,95,Blue
71,87,95,Blue
73,86,95,Blue
73,86,95,Blue
73,86,94,Blue
74,86,94,Blue
77,85,92,Blue
73,86,94,Blue
73,86,94,Blue
73,86,94,Blue
73,86,94,Blue
74,86,94,Blue
74,85,94,Blue
74,86,94,Blue
74,86,94,Blue
74,86,94,Blue
62,90,102,Blue
62,90,102,Blue
61,89,103,Blue
66,88,99,Blue
61,90,103,Blue
64,89,100,Blue
64,89,101,Blue
64,89,100,Blue
63,89,101,Blue
68,88,98,Blue
