R,G,B,label
89,103,61,Green
76,114,64,Green
76,113,64,Green
77,112,64,Green
77,112,64,Green
76,113,64,Green
77,113,63,Green
80,111,62,Green
79,112,63,Green
81,111,62,Green
91,103,59,Green
91,103,59,Green
91,103,59,Green
91,103,59,Green
91,103,59,Green
91,103,59,Green
93,102,59,Green
93,102,59,Green
93,102,59,Green
93,102,59,Green
95,100,58,Green
96,100,58,Green
96,100,58,Green
92,102,59,Green
93,102,59,Green
94,101,59,Green
93,102,59,Green
93,102,59,Green
92,102,59,Green
90,104,60,Green
76,113,64,Green
76,113,64,Green
100,93,61,Green
81,111,61,Green
83,110,60,Green
84,109,60,Green
84,109,60,Green
85,109,60,Green
85,108,60,Green
85,108,60,Green
95,100,58,Green
95,100,58,Green
96,100,58,Green
95,101,58,Green
93,102,59,Green
93,102,59,Green
93,102,59,Green
89,105,60,Green
86,107,60,Green
86,107,60,Green
