R,G,B,label
131,73,50,Orange
129,74,50,Orange
182,36,35,Orange
183,36,35,Orange
153,64,36,Orange
153,64,36,Orange
131,77,46,Orange
128,78,48,Orange
128,76,50,Orange
127,78,49,Orange
155,63,36,Orange
155,63,36,Orange
155,63,36,Orange
155,63,36,Orange
155,63,36,Orange
155,63,36,Orange
155,63,36,Orange
155,63,36,Orange
155,63,36,Orange
155,63,36,Orange
157,62,35,Orange
156,63,35,Orange
156,63,35,Orange
156,63,35,Orange
156,62,35,Orange
156,62,35,Orange
156,62,36,Orange
155,62,36,Orange
156,62,36,Orange
155,62,36,Orange
155,63,36,Orange
157,62,35,Orange
157,62,35,Orange
157,62,35,Orange
157,62,35,Orange
155,64,34,Orange
155,64,34,Orange
156,63,34,Orange
156,62,35,Orange
156,62,35,Orange
156,62,35,Orange
157,62,35,Orange
157,61,35,Orange
154,62,37,Orange
154,62,37,Orange
155,62,36,Orange
155,62,36,Orange
156,62,36,Orange
156,62,36,Orange
145,69,39,Orange
