R,G,B,label
125,62,66,Purple
118,68,68,Purple
120,67,66,Purple
122,67,65,Purple
124,65,64,Purple
127,64,63,Purple
128,63,62,Purple
130,63,61,Purple
128,63,62,Purple
128,63,62,Purple
130,63,61,Purple
128,64,62,Purple
122,66,65,Purple
124,65,64,Purple
126,64,63,Purple
126,64,63,Purple
123,66,65,Purple
117,68,68,Purple
149,50,55,Purple
133,57,63,Purple
127,64,63,Purple
127,64,63,Purple
127,64,62,Purple
129,63,62,Purple
129,63,62,Purple
129,63,62,Purple
129,63,62,Purple
130,63,61,Purple
129,63,61,Purple
131,62,60,Purple
131,62,60,Purple
131,62,60,Purple
131,62,60,Purple
131,62,60,Purple
131,62,60,Purple
131,62,60,Purple
131,62,60,Purple
131,62,61,Purple
130,62,61,Purple
132,62,59,Purple
129,63,62,Purple
130,62,61,Purple
130,63,61,Purple
130,63,61,Purple
129,63,61,Purple
129,63,61,Purple
129,63,61,Purple
129,63,62,Purple
129,63,61,Purple
131,62,60,Purple
