R,G,B,label
186,32,36,Red
186,32,36,Red
185,33,36,Red
185,33,36,Red
166,49,38,Red
155,52,46,Red
158,50,46,Red
158,50,46,Red
185,33,36,Red
185,33,36,Red
185,33,36,Red
183,34,36,Red
169,49,35,Red
169,49,36,Red
169,49,36,Red
170,48,35,Red
171,48,35,Red
171,47,35,Red
170,48,35,Red
170,48,35,Red
173,46,35,Red
173,46,34,Red
173,46,35,Red
172,46,35,Red
172,46,35,Red
172,46,35,Red
172,47,35,Red
172,47,35,Red
172,47,35,Red
172,47,35,Red
171,47,35,Red
171,47,35,Red
171,47,35,Red
171,47,35,Red
171,47,35,Red
172,47,35,Red
171,47,35,Red
172,47,35,Red
167,50,37,Red
166,50,37,Red
165,51,38,Red
157,54,42,Red
154,55,44,Red
154,55,44,Red
154,55,44,Red
154,55,44,Red
155,55,44,Red
160,53,40,Red
162,52,40,Red
155,55,44,Red
