R,G,B,label
104,104,45,Yellow
105,105,44,Yellow
132,88,33,Yellow
98,98,58,Yellow
98,98,58,Yellow
97,97,59,Yellow
97,97,60,Yellow
96,96,61,Yellow
97,97,60,Yellow
97,97,59,Yellow
97,97,60,Yellow
97,97,60,Yellow
98,98,58,Yellow
103,103,48,Yellow
103,103,48,Yellow
99,99,56,Yellow
96,96,61,Yellow
97,97,60,Yellow
97,97,60,Yellow
97,97,60,Yellow
134,86,33,Yellow
134,86,33,Yellow
134,86,33,Yellow
134,86,33,Yellow
134,86,33,Yellow
134,86,33,Yellow
135,86,33,Yellow
134,86,33,Yellow
134,86,33,Yellow
135,86,33,Yellow
136,83,34,Yellow
136,83,34,Yellow
136,83,34,Yellow
136,83,34,Yellow
136,83,34,Yellow
136,83,34,Yellow
136,83,34,Yellow
136,83,34,Yellow
136,83,34,Yellow
133,87,33,Yellow
134,86,34,Yellow
97,97,59,Yellow
98,98,57,Yellow
97,97,59,Yellow
108,104,42,Yellow
130,89,34,Yellow
105,105,44,Yellow
105,105,44,Yellow
109,102,42,Yellow
110,101,42,Yellow
