R,G,B,label,distance
85,81,87,Blue,1cm
84,81,88,Blue,1cm
81,82,90,Blue,1cm
82,82,89,Blue,1cm
86,81,87,Blue,1cm
85,81,88,Blue,1cm
84,82,88,Blue,1cm
84,82,88,Blue,1cm
84,81,88,Blue,1cm
85,81,88,Blue,1cm
85,81,88,Blue,1cm
84,81,88,Blue,1cm
82,82,89,Blue,1cm
82,82,89,Blue,1cm
80,83,90,Blue,1cm
81,83,90,Blue,1cm
81,83,90,Blue,1cm
81,83,90,Blue,1cm
83,82,89,Blue,1cm
84,81,88,Blue,1cm
84,81,88,Blue,1cm
85,81,88,Blue,1cm
84,81,88,Blue,1cm
78,84,92,Blue,1cm
82,82,89,Blue,1cm
83,82,89,Blue,1cm
84,81,88,Blue,1cm
85,81,87,Blue,1cm
85,81,88,Blue,1cm
85,81,88,Blue,1cm
85,81,88,Blue,1cm
85,81,88,Blue,1cm
85,81,88,Blue,1cm
86,81,87,Blue,1cm
85,81,87,Blue,1cm
86,81,87,Blue,1cm
87,81,85,Blue,1cm
86,80,87,Blue,1cm
84,81,88,Blue,1cm
84,81,88,Blue,1cm
86,81,87,Blue,1cm
86,81,87,Blue,1cm
88,80,86,Blue,1cm
89,79,85,Blue,1cm
88,80,86,Blue,1cm
87,80,86,Blue,1cm
86,81,87,Blue,1cm
85,81,88,Blue,1cm
85,81,88,Blue,1cm
102,81,70,Blue,1cm
