R,G,B,label,distance
92,104,58,Green,0.5cm
90,105,59,Green,0.5cm
84,110,60,Green,0.5cm
86,108,59,Green,0.5cm
89,106,59,Green,0.5cm
89,105,59,Green,0.5cm
90,105,59,Green,0.5cm
94,101,58,Green,0.5cm
91,105,58,Green,0.5cm
90,105,58,Green,0.5cm
90,105,58,Green,0.5cm
90,105,58,Green,0.5cm
92,103,58,Green,0.5cm
91,104,59,Green,0.5cm
91,104,58,Green,0.5cm
91,104,58,Green,0.5cm
89,106,59,Green,0.5cm
90,105,58,Green,0.5cm
90,105,59,Green,0.5cm
90,104,59,Green,0.5cm
90,105,59,Green,0.5cm
89,106,59,Green,0.5cm
88,106,59,Green,0.5cm
93,103,58,Green,0.5cm
91,104,58,Green,0.5cm
92,103,58,Green,0.5cm
91,104,58,Green,0.5cm
91,104,58,Green,0.5cm
89,106,59,Green,0.5cm
92,104,58,Green,0.5cm
91,104,59,Green,0.5cm
91,104,58,Green,0.5cm
92,103,58,Green,0.5cm
90,105,59,Green,0.5cm
91,104,59,Green,0.5cm
93,102,58,Green,0.5cm
90,105,58,Green,0.5cm
89,106,59,Green,0.5cm
89,105,59,Green,0.5cm
89,106,59,Green,0.5cm
88,106,59,Green,0.5cm
86,108,59,Green,0.5cm
90,105,59,Green,0.5cm
90,105,59,Green,0.5cm
93,103,58,Green,0.5cm
89,105,59,Green,0.5cm
90,105,59,Green,0.5cm
91,104,58,Green,0.5cm
90,105,59,Green,0.5cm
92,103,58,Green,0.5cm
