R,G,B,label,distance
98,99,57,Green,1cm
98,99,57,Green,1cm
93,102,58,Green,1cm
95,101,57,Green,1cm
95,101,58,Green,1cm
94,102,58,Green,1cm
93,102,58,Green,1cm
93,102,58,Green,1cm
93,102,58,Green,1cm
93,103,58,Green,1cm
96,100,57,Green,1cm
94,102,58,Green,1cm
94,102,58,Green,1cm
94,102,58,Green,1cm
96,100,57,Green,1cm
96,100,57,Green,1cm
98,99,57,Green,1cm
97,99,57,Green,1cm
97,100,57,Green,1cm
97,99,57,Green,1cm
96,100,57,Green,1cm
97,100,57,Green,1cm
96,100,57,Green,1cm
98,98,57,Green,1cm
99,98,57,Green,1cm
97,99,57,Green,1cm
97,100,57,Green,1cm
96,100,57,Green,1cm
96,100,57,Green,1cm
96,100,57,Green,1cm
95,101,58,Green,1cm
96,100,57,Green,1cm
95,101,57,Green,1cm
94,102,58,Green,1cm
93,102,58,Green,1cm
94,102,58,Green,1cm
94,101,58,Green,1cm
95,101,58,Green,1cm
95,100,58,Green,1cm
96,100,58,Green,1cm
96,100,58,Green,1cm
98,99,57,Green,1cm
98,99,57,Green,1cm
97,99,57,Green,1cm
97,99,57,Green,1cm
97,99,57,Green,1cm
99,98,57,Green,1cm
100,96,57,Green,1cm
98,98,57,Green,1cm
99,98,57,Green,1cm
