R,G,B,label,distance
162,58,33,Orange,0.5cm
162,58,33,Orange,0.5cm
162,58,33,Orange,0.5cm
163,58,33,Orange,0.5cm
162,58,33,Orange,0.5cm
162,58,33,Orange,0.5cm
161,59,34,Orange,0.5cm
161,59,34,Orange,0.5cm
161,58,34,Orange,0.5cm
161,59,34,Orange,0.5cm
162,58,34,Orange,0.5cm
162,58,33,Orange,0.5cm
161,58,34,Orange,0.5cm
161,58,34,Orange,0.5cm
159,60,34,Orange,0.5cm
162,58,33,Orange,0.5cm
162,58,34,Orange,0.5cm
162,58,33,Orange,0.5cm
163,58,33,Orange,0.5cm
162,58,33,Orange,0.5cm
163,57,33,Orange,0.5cm
163,58,33,Orange,0.5cm
163,57,33,Orange,0.5cm
162,58,33,Orange,0.5cm
162,58,33,Orange,0.5cm
162,58,33,Orange,0.5cm
162,58,33,Orange,0.5cm
162,58,33,Orange,0.5cm
163,58,33,Orange,0.5cm
163,57,33,Orange,0.5cm
163,57,33,Orange,0.5cm
163,57,33,Orange,0.5cm
162,59,33,Orange,0.5cm
163,58,33,Orange,0.5cm
162,58,33,Orange,0.5cm
162,58,33,Orange,0.5cm
163,57,33,Orange,0.5cm
167,55,32,Orange,0.5cm
163,58,33,Orange,0.5cm
163,57,33,Orange,0.5cm
163,57,33,Orange,0.5cm
163,57,33,Orange,0.5cm
163,57,33,Orange,0.5cm
163,57,33,Orange,0.5cm
163,57,33,Orange,0.5cm
163,58,33,Orange,0.5cm
163,57,33,Orange,0.5cm
163,57,33,Orange,0.5cm
163,57,33,Orange,0.5cm
164,55,35,Orange,0.5cm
