R,G,B,label,distance
160,55,39,Orange,5cm
160,55,39,Orange,5cm
161,54,39,Orange,5cm
159,55,39,Orange,5cm
159,55,39,Orange,5cm
160,55,39,Orange,5cm
160,55,39,Orange,5cm
160,55,39,Orange,5cm
160,55,38,Orange,5cm
160,55,39,Orange,5cm
161,54,39,Orange,5cm
161,54,39,Orange,5cm
162,53,38,Orange,5cm
162,54,38,Orange,5cm
161,54,39,Orange,5cm
161,54,39,Orange,5cm
161,54,39,Orange,5cm
161,53,39,Orange,5cm
161,54,39,Orange,5cm
161,53,39,Orange,5cm
161,53,39,Orange,5cm
161,54,39,Orange,5cm
161,54,39,Orange,5cm
162,53,38,Orange,5cm
160,55,40,Orange,5cm
162,53,38,Orange,5cm
162,53,39,Orange,5cm
160,54,39,Orange,5cm
161,54,39,Orange,5cm
160,54,39,Orange,5cm
161,54,38,Orange,5cm
160,54,39,Orange,5cm
161,53,39,Orange,5cm
162,53,39,Orange,5cm
160,55,39,Orange,5cm
160,54,39,Orange,5cm
161,53,39,Orange,5cm
160,54,39,Orange,5cm
160,54,39,Orange,5cm
161,54,39,Orange,5cm
161,54,39,Orange,5cm
161,54,39,Orange,5cm
160,55,39,Orange,5cm
160,54,39,Orange,5cm
162,53,39,Orange,5cm
162,53,39,Orange,5cm
161,54,39,Orange,5cm
160,54,39,Orange,5cm
161,54,39,Orange,5cm
161,53,39,Orange,5cm
