R,G,B,label,distance
128,64,62,Purple,0.5cm
128,63,62,Purple,0.5cm
128,64,61,Purple,0.5cm
129,63,61,Purple,0.5cm
129,63,61,Purple,0.5cm
129,64,61,Purple,0.5cm
129,64,61,Purple,0.5cm
129,64,61,Purple,0.5cm
129,64,61,Purple,0.5cm
129,64,61,Purple,0.5cm
129,64,61,Purple,0.5cm
129,64,61,Purple,0.5cm
129,64,61,Purple,0.5cm
129,64,61,Purple,0.5cm
129,64,61,Purple,0.5cm
129,63,61,Purple,0.5cm
129,63,61,Purple,0.5cm
129,63,61,Purple,0.5cm
129,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
129,63,61,Purple,0.5cm
129,63,62,Purple,0.5cm
129,63,61,Purple,0.5cm
130,63,60,Purple,0.5cm
129,63,61,Purple,0.5cm
131,62,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
129,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,62,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
129,63,62,Purple,0.5cm
129,63,61,Purple,0.5cm
129,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
129,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
129,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
130,63,61,Purple,0.5cm
