R,G,B,label,distance
147,56,51,Purple,5cm
147,56,51,Purple,5cm
146,56,51,Purple,5cm
146,56,51,Purple,5cm
146,56,52,Purple,5cm
145,57,52,Purple,5cm
147,56,51,Purple,5cm
148,55,51,Purple,5cm
148,55,50,Purple,5cm
149,55,50,Purple,5cm
150,54,50,Purple,5cm
150,54,50,Purple,5cm
150,53,50,Purple,5cm
150,54,50,Purple,5cm
150,54,49,Purple,5cm
150,54,49,Purple,5cm
150,54,49,Purple,5cm
150,54,50,Purple,5cm
149,54,50,Purple,5cm
151,54,49,Purple,5cm
151,53,49,Purple,5cm
158,50,46,Purple,5cm
158,49,46,Purple,5cm
158,49,47,Purple,5cm
158,49,47,Purple,5cm
158,50,46,Purple,5cm
157,50,47,Purple,5cm
159,48,46,Purple,5cm
161,48,45,Purple,5cm
155,51,48,Purple,5cm
155,51,47,Purple,5cm
153,51,50,Purple,5cm
153,51,49,Purple,5cm
155,51,48,Purple,5cm
153,52,49,Purple,5cm
153,52,49,Purple,5cm
153,51,49,Purple,5cm
153,52,49,Purple,5cm
153,51,49,Purple,5cm
154,51,49,Purple,5cm
153,52,49,Purple,5cm
153,51,49,Purple,5cm
153,52,49,Purple,5cm
153,52,49,Purple,5cm
152,52,49,Purple,5cm
154,52,49,Purple,5cm
154,52,49,Purple,5cm
153,52,49,Purple,5cm
153,52,49,Purple,5cm
153,52,49,Purple,5cm
