R,G,B,label,distance
170,48,36,Red,0.5cm
171,47,35,Red,0.5cm
169,48,36,Red,0.5cm
170,48,35,Red,0.5cm
171,48,35,Red,0.5cm
170,48,35,Red,0.5cm
171,48,35,Red,0.5cm
170,48,36,Red,0.5cm
170,48,36,Red,0.5cm
170,47,36,Red,0.5cm
170,48,36,Red,0.5cm
177,44,33,Red,0.5cm
170,48,36,Red,0.5cm
170,48,36,Red,0.5cm
170,48,36,Red,0.5cm
170,48,36,Red,0.5cm
170,48,36,Red,0.5cm
170,48,36,Red,0.5cm
170,48,36,Red,0.5cm
170,48,36,Red,0.5cm
170,48,35,Red,0.5cm
170,48,35,Red,0.5cm
170,48,35,Red,0.5cm
170,48,35,Red,0.5cm
171,48,35,Red,0.5cm
170,48,35,Red,0.5cm
171,48,35,Red,0.5cm
170,48,36,Red,0.5cm
170,48,35,Red,0.5cm
170,49,35,Red,0.5cm
171,48,35,Red,0.5cm
171,48,35,Red,0.5cm
171,48,35,Red,0.5cm
171,48,35,Red,0.5cm
171,48,35,Red,0.5cm
171,48,35,Red,0.5cm
171,48,35,Red,0.5cm
170,49,35,Red,0.5cm
171,48,35,Red,0.5cm
171,48,35,Red,0.5cm
171,48,35,Red,0.5cm
168,48,37,Red,0.5cm
170,49,35,Red,0.5cm
171,48,35,Red,0.5cm
171,48,34,Red,0.5cm
171,48,35,Red,0.5cm
171,48,34,Red,0.5cm
171,48,34,Red,0.5cm
171,48,35,Red,0.5cm
170,48,35,Red,0.5cm
