R,G,B,label,distance
170,48,36,Red,2cm
170,48,36,Red,2cm
170,48,35,Red,2cm
170,48,36,Red,2cm
170,48,36,Red,2cm
170,48,36,Red,2cm
170,48,36,Red,2cm
170,48,36,Red,2cm
170,48,36,Red,2cm
170,48,36,Red,2cm
170,48,36,Red,2cm
170,48,36,Red,2cm
170,48,36,Red,2cm
170,48,36,Red,2cm
170,47,36,Red,2cm
171,47,35,Red,2cm
171,47,36,Red,2cm
171,47,36,Red,2cm
171,47,36,Red,2cm
171,47,36,Red,2cm
171,47,36,Red,2cm
171,47,36,Red,2cm
170,47,36,Red,2cm
170,47,36,Red,2cm
171,47,36,Red,2cm
171,47,36,Red,2cm
170,47,36,Red,2cm
170,47,36,Red,2cm
171,47,36,Red,2cm
171,47,36,Red,2cm
170,47,36,Red,2cm
171,47,36,Red,2cm
171,47,36,Red,2cm
170,47,36,Red,2cm
171,47,36,Red,2cm
171,47,36,Red,2cm
171,47,36,Red,2cm
171,47,36,Red,2cm
170,47,36,Red,2cm
171,47,36,Red,2cm
171,47,36,Red,2cm
171,47,36,Red,2cm
171,47,36,Red,2cm
171,47,36,Red,2cm
171,47,36,Red,2cm
171,47,36,Red,2cm
171,47,36,Red,2cm
171,47,36,Red,2cm
169,48,36,Red,2cm
171,47,36,Red,2cm
