R,G,B,label,distance
134,86,34,Yellow,0.5cm
134,86,34,Yellow,0.5cm
134,86,33,Yellow,0.5cm
134,86,33,Yellow,0.5cm
134,86,34,Yellow,0.5cm
134,86,34,Yellow,0.5cm
134,86,34,Yellow,0.5cm
135,85,33,Yellow,0.5cm
139,82,32,Yellow,0.5cm
136,84,33,Yellow,0.5cm
136,84,33,Yellow,0.5cm
136,85,33,Yellow,0.5cm
136,85,33,Yellow,0.5cm
137,84,33,Yellow,0.5cm
136,84,33,Yellow,0.5cm
136,85,33,Yellow,0.5cm
136,85,33,Yellow,0.5cm
135,85,33,Yellow,0.5cm
136,84,33,Yellow,0.5cm
136,84,33,Yellow,0.5cm
136,84,33,Yellow,0.5cm
136,84,33,Yellow,0.5cm
136,84,33,Yellow,0.5cm
135,85,33,Yellow,0.5cm
136,85,33,Yellow,0.5cm
136,85,33,Yellow,0.5cm
136,84,33,Yellow,0.5cm
136,84,33,Yellow,0.5cm
136,84,33,Yellow,0.5cm
136,84,33,Yellow,0.5cm
137,84,33,Yellow,0.5cm
137,83,33,Yellow,0.5cm
136,84,33,Yellow,0.5cm
136,84,33,Yellow,0.5cm
136,84,33,Yellow,0.5cm
137,84,33,Yellow,0.5cm
137,83,33,Yellow,0.5cm
137,83,33,Yellow,0.5cm
137,83,33,Yellow,0.5cm
137,83,33,Yellow,0.5cm
137,83,33,Yellow,0.5cm
137,83,33,Yellow,0.5cm
136,84,33,Yellow,0.5cm
137,83,33,Yellow,0.5cm
137,83,33,Yellow,0.5cm
137,84,33,Yellow,0.5cm
136,84,33,Yellow,0.5cm
137,84,33,Yellow,0.5cm
136,84,34,Yellow,0.5cm
136,85,33,Yellow,0.5cm
