R,G,B,label,distance
138,82,33,Yellow,2cm
138,82,33,Yellow,2cm
138,82,34,Yellow,2cm
138,81,34,Yellow,2cm
138,83,33,Yellow,2cm
138,82,33,Yellow,2cm
138,82,34,Yellow,2cm
138,82,34,Yellow,2cm
138,82,34,Yellow,2cm
138,81,34,Yellow,2cm
138,82,33,Yellow,2cm
138,83,33,Yellow,2cm
133,86,35,Yellow,2cm
138,82,34,Yellow,2cm
138,81,34,Yellow,2cm
138,82,34,Yellow,2cm
138,83,33,Yellow,2cm
138,83,33,Yellow,2cm
137,83,33,Yellow,2cm
138,82,34,Yellow,2cm
138,82,34,Yellow,2cm
138,81,34,Yellow,2cm
138,82,34,Yellow,2cm
137,82,34,Yellow,2cm
138,82,34,Yellow,2cm
138,81,34,Yellow,2cm
139,81,34,Yellow,2cm
140,80,34,Yellow,2cm
140,79,35,Yellow,2cm
140,78,35,Yellow,2cm
140,78,35,Yellow,2cm
140,78,35,Yellow,2cm
140,78,35,Yellow,2cm
141,77,35,Yellow,2cm
141,78,35,Yellow,2cm
140,80,34,Yellow,2cm
140,79,34,Yellow,2cm
140,79,34,Yellow,2cm
139,80,34,Yellow,2cm
140,79,35,Yellow,2cm
140,78,35,Yellow,2cm
140,79,35,Yellow,2cm
139,80,34,Yellow,2cm
141,77,35,Yellow,2cm
140,79,35,Yellow,2cm
140,80,34,Yellow,2cm
139,80,34,Yellow,2cm
139,80,34,Yellow,2cm
140,79,34,Yellow,2cm
140,79,35,Yellow,2cm
